hcp_id,territory_id,access_snapshot_datetime,recent_formulary_change_30d,current_coverage_tier_overall,prior_auth_requirement,step_therapy_requirement,copay_status_median_usd,patient_mix_top3_summary,access_alert_severity,prior_auth_required_flag,step_therapy_required_flag,patient_copay_median_90d,access_change_14d_flag,access_policy_change_7d_flag,payer_contract_change_30d_flag,formulary_tier_score,payer_top1_share_pct,payer_top3_share_pct,access_friction_index,physician_id,product_id,insurance_plan,is_covered,tier_status,prior_auth_required,step_therapy_required,copay_amount,last_updated
HCP0018,US-PA-W,2026-01-20 10:01:33,No change,Tier 4,Required,Required,20.85,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,19.23,True,False,False,3,0.2585,0.8793,0.2736,HCP0018,PROD-002,Cigna,True,Specialty,True,True,34.6,2026-01-20
HCP0019,US-TX-E,2026-01-20 10:01:33,PA removed,Specialty,Not Required,Required,84.05,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,False,95.05,True,True,False,4,0.2723,0.8821,0.6778,HCP0019,PROD-007,Cigna,True,Tier 3,True,True,102.06,2026-01-20
HCP0020,US-NY-W,2026-01-20 10:01:33,PA added,Tier 4,Conditional,Not Required,17.4,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,104.95,False,False,True,4,0.5945,0.8795,0.5022,HCP0020,PROD-005,Cigna,True,Tier 3,True,False,66.91,2026-01-20
HCP0021,US-CA-N,2026-01-20 10:01:33,PA removed,Tier 1,Conditional,Required,20.74,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,90.54,True,False,False,1,0.5849,0.7484,0.5087,HCP0021,PROD-003,Cigna,False,Tier 1,False,True,96.28,2026-01-20
HCP0022,US-NY-W,2026-01-20 10:01:33,Tier updated,Tier 4,Conditional,Not Required,44.19,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,145.05,True,True,True,3,0.5358,0.7798,0.9525,HCP0022,PROD-007,Cigna,False,Tier 2,False,True,57.31,2026-01-20
HCP0023,US-FL-N,2026-01-20 10:01:33,PA added,Specialty,Required,Not Required,51.88,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,10.31,False,True,False,1,0.5742,0.9124,0.8484,HCP0023,PROD-001,UnitedHealthcare,True,Specialty,False,False,59.54,2026-01-20
HCP0024,US-TX-W,2026-01-20 10:01:33,Tier updated,Tier 3,Conditional,Required,66.29,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,78.89,True,True,False,1,0.5652,0.6024,0.7694,HCP0024,PROD-005,Aetna,False,Specialty,False,False,61.03,2026-01-20
HCP0025,US-PA-W,2026-01-20 10:01:33,PA added,Specialty,Not Required,Required,148.51,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,29.58,False,True,False,2,0.2443,0.6997,0.1337,HCP0025,PROD-007,UnitedHealthcare,True,Tier 2,True,False,144.36,2026-01-20
HCP0026,US-CA-N,2026-01-20 10:01:33,PA removed,Tier 1,Not Required,Not Required,87.02,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,115.15,False,False,True,1,0.5831,0.8774,0.1261,HCP0026,PROD-006,Humana,True,Tier 2,True,False,70.15,2026-01-20
HCP0027,US-NY-E,2026-01-20 10:01:33,Tier updated,Tier 4,Not Required,Not Required,49.51,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,96.47,True,True,False,1,0.5457,0.948,0.2474,HCP0027,PROD-007,Aetna,False,Tier 1,True,True,148.96,2026-01-20
HCP0028,US-PA-E,2026-01-20 10:01:33,PA added,Tier 2,Required,Required,66.18,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,69.68,True,True,True,4,0.3629,0.7073,0.6333,HCP0028,PROD-004,Aetna,False,Specialty,False,True,81.38,2026-01-20
HCP0029,US-PA-E,2026-01-20 10:01:33,Tier updated,Tier 3,Required,Not Required,60.9,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,54.78,True,True,True,1,0.2209,0.8607,0.212,HCP0029,PROD-008,UnitedHealthcare,True,Specialty,True,False,142.77,2026-01-20
HCP0030,US-CA-N,2026-01-20 10:01:33,PA removed,Tier 3,Not Required,Required,23.56,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,60.48,False,False,True,3,0.284,0.7344,0.8872,HCP0030,PROD-003,Humana,True,Tier 1,True,True,108.65,2026-01-20
HCP0031,US-TX-E,2026-01-20 10:01:33,Tier updated,Tier 1,Conditional,Not Required,52.21,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,16.13,True,False,False,3,0.558,0.757,0.7173,HCP0031,PROD-007,Blue Cross,False,Specialty,True,True,93.88,2026-01-20
HCP0032,US-TX-W,2026-01-20 10:01:33,PA added,Tier 3,Required,Required,121.21,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,79.3,True,True,False,4,0.425,0.7366,0.6072,HCP0032,PROD-004,Aetna,True,Tier 2,True,True,133.08,2026-01-20
HCP0033,US-NY-W,2026-01-20 10:01:33,No change,Specialty,Conditional,Not Required,52.48,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,87.3,True,True,True,2,0.3167,0.8239,0.942,HCP0033,PROD-005,Aetna,False,Tier 1,True,True,84.84,2026-01-20
HCP0034,US-FL-N,2026-01-20 10:01:33,Tier updated,Tier 3,Conditional,Not Required,55.44,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,67.17,False,False,True,1,0.5296,0.6767,0.9652,HCP0034,PROD-003,UnitedHealthcare,True,Tier 1,False,False,131.8,2026-01-20
HCP0035,US-NY-E,2026-01-20 10:01:33,PA added,Tier 4,Required,Not Required,47.63,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,72.45,False,False,True,4,0.2375,0.6635,0.185,HCP0035,PROD-003,Aetna,False,Tier 2,False,True,53.42,2026-01-20
HCP0036,US-FL-S,2026-01-20 10:01:33,PA added,Tier 4,Conditional,Required,19.72,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,73.7,False,True,True,1,0.4413,0.7323,0.0207,HCP0036,PROD-001,Blue Cross,True,Tier 2,True,False,29.97,2026-01-20
HCP0037,US-NY-W,2026-01-20 10:01:33,Tier updated,Tier 1,Required,Not Required,129.38,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,77.26,False,True,False,3,0.3916,0.6853,0.5435,HCP0037,PROD-005,Humana,True,Tier 1,True,True,86.25,2026-01-20
HCP0038,US-CA-S,2026-01-20 10:01:33,Tier updated,Specialty,Not Required,Required,10.17,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,69.8,True,False,False,2,0.5687,0.8395,0.6868,HCP0038,PROD-002,Cigna,True,Tier 1,True,True,143.91,2026-01-20
HCP0039,US-NY-W,2026-01-20 10:01:33,PA removed,Tier 3,Required,Not Required,26.57,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,34.93,False,True,False,2,0.5572,0.8405,0.6248,HCP0039,PROD-005,UnitedHealthcare,True,Tier 3,False,False,140.6,2026-01-20
HCP0040,US-NY-E,2026-01-20 10:01:33,Tier updated,Tier 1,Required,Required,54.84,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,124.05,True,False,False,2,0.2362,0.9482,0.1819,HCP0040,PROD-007,UnitedHealthcare,False,Specialty,False,False,107.08,2026-01-20
HCP0041,US-FL-S,2026-01-20 10:01:33,No change,Specialty,Conditional,Not Required,29.35,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,68.61,False,False,True,4,0.2334,0.8502,0.5269,HCP0041,PROD-004,Blue Cross,True,Tier 3,True,True,149.15,2026-01-20
HCP0042,US-PA-W,2026-01-20 10:01:33,Tier updated,Tier 3,Conditional,Not Required,144.07,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,60.52,True,False,False,2,0.5341,0.793,0.9313,HCP0042,PROD-007,Aetna,True,Tier 2,True,True,26.41,2026-01-20
HCP0043,US-CA-N,2026-01-20 10:01:33,PA added,Tier 4,Conditional,Required,107.46,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,108.2,True,False,True,1,0.2588,0.6494,0.245,HCP0043,PROD-001,Humana,False,Tier 2,True,False,114.1,2026-01-20
HCP0044,US-FL-S,2026-01-20 10:01:33,PA removed,Tier 4,Not Required,Not Required,72.16,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,25.58,True,True,True,2,0.2043,0.8914,0.6799,HCP0044,PROD-008,Humana,False,Tier 3,True,False,140.4,2026-01-20
HCP0045,US-CA-S,2026-01-20 10:01:33,PA removed,Tier 1,Conditional,Not Required,146.91,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,96.67,True,False,True,1,0.5266,0.764,0.3132,HCP0045,PROD-007,Cigna,True,Tier 1,False,False,37.26,2026-01-20
HCP0046,US-NY-W,2026-01-20 10:01:33,Tier updated,Tier 1,Required,Not Required,94.45,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,49.51,True,True,True,1,0.5026,0.7082,0.5517,HCP0046,PROD-001,Aetna,False,Tier 1,True,False,16.4,2026-01-20
HCP0047,US-NY-W,2026-01-20 10:01:33,PA removed,Tier 1,Not Required,Required,147.28,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,54.03,False,False,True,1,0.3325,0.9138,0.5036,HCP0047,PROD-003,Blue Cross,False,Specialty,True,False,32.57,2026-01-20
HCP0048,US-CA-S,2026-01-20 10:01:33,No change,Tier 1,Conditional,Required,143.39,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,117.64,True,False,False,2,0.3356,0.7261,0.856,HCP0048,PROD-007,Blue Cross,False,Tier 2,True,True,144.12,2026-01-20
HCP0049,US-NY-W,2026-01-20 10:01:33,No change,Tier 1,Required,Required,117.28,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,23.18,False,True,False,2,0.2273,0.8018,0.3534,HCP0049,PROD-002,Aetna,False,Tier 3,False,False,116.84,2026-01-20
HCP0050,US-NY-W,2026-01-20 10:01:33,No change,Tier 2,Required,Not Required,15.54,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,129.98,True,False,False,3,0.3495,0.8388,0.5059,HCP0050,PROD-005,Blue Cross,True,Tier 2,True,True,129.43,2026-01-20
HCP0051,US-TX-E,2026-01-20 10:01:33,PA removed,Tier 4,Required,Not Required,129.54,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,103.68,False,False,False,4,0.2436,0.6631,0.1083,HCP0051,PROD-007,Cigna,True,Specialty,False,True,54.42,2026-01-20
HCP0052,US-NY-W,2026-01-20 10:01:33,No change,Tier 2,Conditional,Not Required,26.01,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,142.79,True,True,False,1,0.5951,0.871,0.0624,HCP0052,PROD-006,Cigna,False,Tier 2,True,True,131.52,2026-01-20
HCP0053,US-TX-W,2026-01-20 10:01:33,No change,Tier 3,Not Required,Required,21.7,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,21.44,False,False,True,3,0.2736,0.6188,0.895,HCP0053,PROD-007,UnitedHealthcare,False,Tier 2,True,False,141.87,2026-01-20
HCP0054,US-NY-W,2026-01-20 10:01:33,No change,Tier 4,Conditional,Required,145.18,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,125.22,True,True,True,3,0.4656,0.8882,0.7344,HCP0054,PROD-006,Blue Cross,True,Specialty,True,False,131.0,2026-01-20
HCP0055,US-NY-E,2026-01-20 10:01:33,Tier updated,Tier 4,Not Required,Required,148.35,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,15.11,True,False,True,4,0.2865,0.6734,0.1912,HCP0055,PROD-001,UnitedHealthcare,False,Tier 1,False,False,80.29,2026-01-20
HCP0056,US-FL-S,2026-01-20 10:01:33,Tier updated,Tier 4,Conditional,Not Required,67.97,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,83.24,False,True,True,4,0.3714,0.6619,0.5949,HCP0056,PROD-007,Cigna,False,Specialty,False,True,149.35,2026-01-20
HCP0057,US-FL-S,2026-01-20 10:01:33,Tier updated,Tier 1,Conditional,Required,96.28,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,114.99,True,False,True,3,0.5407,0.6742,0.7769,HCP0057,PROD-007,Blue Cross,True,Specialty,True,False,145.47,2026-01-20
HCP0058,US-FL-S,2026-01-20 10:01:33,No change,Tier 4,Conditional,Not Required,11.06,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,47.47,False,False,False,2,0.2017,0.9182,0.0327,HCP0058,PROD-001,Aetna,False,Tier 3,False,True,144.28,2026-01-20
HCP0059,US-FL-S,2026-01-20 10:01:33,No change,Tier 2,Conditional,Not Required,36.97,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,122.19,False,True,False,2,0.3612,0.7113,0.1584,HCP0059,PROD-004,Blue Cross,True,Tier 1,False,False,127.23,2026-01-20
HCP0060,US-PA-W,2026-01-20 10:01:33,PA added,Tier 3,Required,Required,23.06,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,13.89,True,False,True,2,0.5934,0.8221,0.7776,HCP0060,PROD-003,Aetna,True,Tier 3,True,True,111.68,2026-01-20
HCP0061,US-NY-W,2026-01-20 10:01:33,No change,Tier 3,Conditional,Required,48.5,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,25.53,True,True,True,3,0.3048,0.6632,0.0774,HCP0061,PROD-006,Aetna,False,Tier 1,False,True,67.92,2026-01-20
HCP0062,US-TX-W,2026-01-20 10:01:33,No change,Tier 1,Required,Not Required,62.54,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,35.17,True,True,True,1,0.5904,0.9478,0.4839,HCP0062,PROD-001,Aetna,False,Tier 1,True,True,85.03,2026-01-20
HCP0063,US-NY-E,2026-01-20 10:01:33,PA added,Tier 2,Not Required,Required,135.8,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,40.77,True,False,False,4,0.2797,0.6322,0.7081,HCP0063,PROD-005,Cigna,False,Specialty,False,True,45.01,2026-01-20
HCP0064,US-TX-E,2026-01-20 10:01:33,PA added,Tier 3,Not Required,Required,91.71,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,121.17,False,False,False,4,0.4385,0.6951,0.3187,HCP0064,PROD-002,Humana,False,Specialty,True,False,62.35,2026-01-20
HCP0065,US-FL-N,2026-01-20 10:01:33,Tier updated,Tier 4,Required,Required,144.13,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,94.54,False,False,True,1,0.272,0.7129,0.7909,HCP0065,PROD-006,Aetna,True,Tier 2,False,False,30.31,2026-01-20
HCP0066,US-TX-E,2026-01-20 10:01:33,PA removed,Tier 1,Required,Not Required,106.36,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,75.15,False,True,True,4,0.3134,0.6743,0.2175,HCP0066,PROD-005,Humana,True,Specialty,False,False,123.88,2026-01-20
HCP0067,US-FL-S,2026-01-20 10:01:33,PA added,Tier 2,Required,Not Required,79.81,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,27.37,True,False,False,2,0.4306,0.6998,0.6437,HCP0067,PROD-001,Cigna,False,Tier 2,False,True,135.42,2026-01-20
HCP0068,US-CA-N,2026-01-20 10:01:33,Tier updated,Tier 3,Conditional,Required,19.72,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,48.45,False,False,True,3,0.3975,0.6165,0.2984,HCP0068,PROD-008,Cigna,True,Tier 3,True,True,41.36,2026-01-20
HCP0069,US-FL-N,2026-01-20 10:01:33,Tier updated,Tier 2,Required,Not Required,130.59,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,33.83,True,False,True,1,0.3039,0.8747,0.1108,HCP0069,PROD-005,Blue Cross,False,Tier 3,False,False,107.81,2026-01-20
HCP0070,US-NY-E,2026-01-20 10:01:33,PA added,Specialty,Not Required,Required,27.68,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,103.55,True,False,False,3,0.3288,0.8558,0.2258,HCP0070,PROD-005,UnitedHealthcare,True,Tier 3,True,True,107.3,2026-01-20
HCP0071,US-FL-S,2026-01-20 10:01:33,Tier updated,Tier 4,Required,Required,11.84,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,36.31,True,False,True,3,0.5042,0.7091,0.454,HCP0071,PROD-003,Humana,True,Tier 2,True,False,63.98,2026-01-20
HCP0072,US-PA-E,2026-01-20 10:01:33,No change,Specialty,Conditional,Required,119.2,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,69.23,False,True,True,4,0.5505,0.8608,0.2406,HCP0072,PROD-008,Aetna,False,Tier 1,False,False,59.27,2026-01-20
HCP0073,US-NY-W,2026-01-20 10:01:33,Tier updated,Specialty,Required,Not Required,70.41,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,81.11,True,False,False,3,0.2391,0.827,0.732,HCP0073,PROD-007,Aetna,False,Tier 2,False,True,93.17,2026-01-20
HCP0074,US-NY-W,2026-01-20 10:01:33,No change,Specialty,Not Required,Required,105.36,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,True,40.74,True,True,False,2,0.2263,0.6354,0.2265,HCP0074,PROD-007,Cigna,False,Tier 1,True,False,79.32,2026-01-20
HCP0075,US-NY-E,2026-01-20 10:01:33,PA added,Tier 2,Not Required,Not Required,108.82,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,35.91,False,False,True,2,0.326,0.6243,0.1873,HCP0075,PROD-008,Aetna,True,Specialty,False,False,12.92,2026-01-20
HCP0076,US-NY-E,2026-01-20 10:01:33,PA removed,Tier 1,Required,Required,93.16,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,132.25,False,True,True,1,0.4269,0.9466,0.8354,HCP0076,PROD-003,Aetna,True,Tier 1,False,False,73.37,2026-01-20
HCP0077,US-PA-W,2026-01-20 10:01:33,PA removed,Specialty,Not Required,Not Required,45.5,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,52.16,False,False,True,3,0.4743,0.8549,0.0207,HCP0077,PROD-007,Aetna,True,Tier 3,False,True,44.21,2026-01-20
HCP0078,US-PA-E,2026-01-20 10:01:33,No change,Tier 3,Required,Required,37.14,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,132.8,False,True,False,3,0.5552,0.7369,0.4173,HCP0078,PROD-005,UnitedHealthcare,True,Tier 1,False,True,70.68,2026-01-20
HCP0079,US-NY-W,2026-01-20 10:01:33,No change,Specialty,Not Required,Not Required,25.43,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,75.28,True,False,True,3,0.3947,0.6226,0.2947,HCP0079,PROD-008,Blue Cross,True,Tier 3,True,True,78.37,2026-01-20
HCP0080,US-CA-N,2026-01-20 10:01:33,Tier updated,Tier 4,Not Required,Required,16.99,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,119.94,True,True,False,2,0.5984,0.6689,0.5852,HCP0080,PROD-002,UnitedHealthcare,True,Tier 1,False,False,44.82,2026-01-20
HCP0081,US-CA-N,2026-01-20 10:01:33,No change,Tier 4,Not Required,Required,135.02,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,True,88.95,False,True,True,3,0.2543,0.794,0.3011,HCP0081,PROD-002,UnitedHealthcare,False,Tier 2,False,False,23.45,2026-01-20
HCP0082,US-PA-W,2026-01-20 10:01:33,No change,Tier 3,Conditional,Not Required,75.57,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,144.6,False,True,True,4,0.2354,0.6492,0.9068,HCP0082,PROD-004,Humana,False,Tier 2,False,True,115.75,2026-01-20
HCP0083,US-FL-N,2026-01-20 10:01:33,No change,Tier 2,Not Required,Required,74.79,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,21.85,False,True,False,1,0.5288,0.7979,0.6906,HCP0083,PROD-001,Blue Cross,True,Tier 2,True,False,29.1,2026-01-20
HCP0084,US-FL-S,2026-01-20 10:01:33,PA added,Tier 3,Conditional,Not Required,110.68,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,26.06,True,True,True,1,0.2989,0.6363,0.0247,HCP0084,PROD-008,Cigna,True,Tier 1,False,False,77.72,2026-01-20
HCP0085,US-NY-W,2026-01-20 10:01:33,PA added,Tier 2,Conditional,Not Required,125.04,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,70.53,True,True,True,2,0.2683,0.8596,0.5467,HCP0085,PROD-008,Cigna,False,Tier 3,True,False,61.43,2026-01-20
HCP0086,US-FL-N,2026-01-20 10:01:33,PA removed,Tier 4,Not Required,Required,74.95,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,True,49.68,True,False,True,3,0.2136,0.8276,0.6572,HCP0086,PROD-008,Blue Cross,False,Tier 2,False,False,48.77,2026-01-20
HCP0087,US-TX-W,2026-01-20 10:01:33,PA added,Tier 3,Conditional,Required,58.84,"Commercial 45%, Medicare 35%, Medicaid 20%",High,False,True,34.43,True,False,False,4,0.4861,0.8753,0.2783,HCP0087,PROD-005,Cigna,True,Specialty,False,False,94.82,2026-01-20
HCP0088,US-CA-S,2026-01-20 10:01:33,PA added,Specialty,Conditional,Not Required,28.12,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,19.46,True,True,True,1,0.4661,0.7748,0.6793,HCP0088,PROD-006,Aetna,True,Tier 1,True,False,115.81,2026-01-20
HCP0089,US-FL-N,2026-01-20 10:01:33,No change,Tier 1,Required,Not Required,26.03,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,116.87,True,True,False,1,0.4795,0.7322,0.9889,HCP0089,PROD-004,Aetna,False,Specialty,False,False,41.57,2026-01-20
HCP0090,US-CA-S,2026-01-20 10:01:33,PA added,Tier 4,Conditional,Required,22.04,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,14.65,True,True,False,4,0.4273,0.9026,0.3407,HCP0090,PROD-008,Aetna,True,Specialty,False,False,96.59,2026-01-20
