hcp_id,territory_id,market_share_percent,competitor_market_share,comp_trx_share_28d,share_shift_percent,comp_share_28d_delta,comp_detail_60d_cnt,comp_sample_60d_cnt,comp_event_90d_cnt,drug_id,drug_name,brand_name,manufacturer,drug_category,therapy_area
HCP0059,US-FL-S,37.31,35.08,32.29,1.76,0.04,2,17,2,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0060,US-PA-W,43.96,18.09,14.74,3.74,0.01,6,5,3,COMP-D003,sitagliptin,Januvia,Merck,DPP-4,Endocrinology
HCP0061,US-NY-W,14.2,42.86,46.53,1.45,0.03,4,11,3,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0062,US-TX-W,26.88,41.99,39.77,7.61,0.04,2,20,0,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0063,US-NY-E,60,17,18.5,6.25,0.07,5,40,3,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0064,US-TX-E,51.96,22.43,19.82,3.79,0.01,3,19,2,COMP-NP001,dapagliflozin,Farxiga,AstraZeneca,SGLT2,Nephrology
HCP0065,US-FL-N,18.39,48.22,50.7,0.92,0.08,9,13,6,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0066,US-TX-E,56.44,21.52,25.6,3,0.09,8,12,6,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0067,US-FL-S,15.1,53.17,56.67,4.8,0.01,6,6,2,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0068,US-CA-N,43.08,11.38,12.86,0.1,0.04,5,8,3,COMP-G002,vedolizumab,Entyvio,Takeda,Integrin Inhibitor,Gastroenterology
HCP0069,US-FL-N,41.78,26.57,28.64,3.48,0.07,15,18,6,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0070,US-NY-E,48.73,19.3,22.56,4.74,0.03,3,7,2,COMP-D003,sitagliptin,Januvia,Merck,DPP-4,Endocrinology
HCP0071,US-FL-S,22.19,43.94,45.04,3.03,0,2,2,1,COMP-G002,vedolizumab,Entyvio,Takeda,Integrin Inhibitor,Gastroenterology
HCP0072,US-PA-E,27.74,26.46,24.26,4.77,0.09,13,10,6,COMP-NP001,dapagliflozin,Farxiga,AstraZeneca,SGLT2,Nephrology
HCP0073,US-NY-W,14.28,51.6,51.49,6.07,0.07,15,32,5,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0074,US-NY-W,49.65,11.86,9.08,5.53,0.03,6,16,3,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0075,US-NY-E,31.28,38.65,36.96,5.62,0.03,4,12,0,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0076,US-NY-E,25.78,38.57,43.08,5.52,0.02,5,13,2,COMP-PL001,tiotropium,Spiriva,Boehringer,LAMA,Pulmonology
HCP0077,US-PA-W,51.63,15.92,14.53,2.42,0.07,7,18,2,COMP-C001,apixaban,Eliquis,BMS/Pfizer,DOAC,Cardiology
HCP0078,US-PA-E,37.67,37.44,33.7,6.95,0.05,2,14,3,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0079,US-NY-W,32.02,24.61,20.12,7.53,0.05,2,17,3,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0080,US-CA-N,38.85,37.16,33.68,6.49,0.09,6,17,2,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0081,US-CA-N,40.32,25.81,23.07,4.18,0.05,5,14,3,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0082,US-PA-W,38.43,21.51,26.11,0.79,0.08,15,16,4,COMP-C002,atorvastatin,Lipitor,Pfizer,Statin,Cardiology
HCP0083,US-FL-N,17.85,35.21,30.96,0.02,0.05,6,20,2,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0084,US-FL-S,21.57,51.21,53.24,3.63,0.07,9,35,8,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0085,US-NY-W,31.26,33.61,35.09,7.27,0.08,6,11,3,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0086,US-FL-N,39.75,40.61,44.82,3.51,0.05,4,17,2,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0087,US-TX-W,31.89,34.95,38.84,5.88,0.06,5,12,3,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0088,US-CA-S,59.98,23.45,21.15,0.32,0.08,12,26,7,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0089,US-FL-N,55.8,13.63,14.48,5.08,0.05,2,20,2,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0090,US-CA-S,26.67,36.75,40.33,2.64,0.07,9,31,5,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0091,US-TX-E,32.74,27.86,26.09,7.76,0.04,6,5,3,COMP-NP001,dapagliflozin,Farxiga,AstraZeneca,SGLT2,Nephrology
HCP0092,US-NY-W,12.71,45.55,46.78,3.99,0.04,2,11,2,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0093,US-NY-W,56.38,18.76,20.74,0.97,0.1,14,35,3,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0094,US-NY-E,25.54,20.34,19.42,1.8,0.08,6,24,2,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0095,US-NY-E,34.92,37.92,38.01,2.19,0.08,12,17,5,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0096,US-TX-E,17.23,35.72,36.71,5.97,0.01,2,13,3,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0097,US-NY-W,56.71,20.15,23.36,2.26,0.03,6,20,1,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0098,US-CA-S,36.93,28.63,29.15,4.35,0.05,4,11,1,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0099,US-TX-E,21.68,53.27,48.71,5.96,0.07,11,22,7,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0100,US-PA-E,34.77,20.93,20.95,4.72,0.09,12,13,6,COMP-PL001,tiotropium,Spiriva,Boehringer,LAMA,Pulmonology
HCP0101,US-TX-E,10.77,34.32,38.03,7.76,0.01,4,15,3,COMP-G002,vedolizumab,Entyvio,Takeda,Integrin Inhibitor,Gastroenterology
HCP0102,US-TX-W,14.02,39.86,41.6,4.27,0.1,15,32,8,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0103,US-CA-N,53.62,10.72,6.4,5.05,0.09,8,33,2,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0104,US-CA-N,58.92,25.21,27.25,0.8,0.02,4,5,0,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0105,US-FL-S,49.81,15.87,14.62,1.16,0.05,6,10,1,COMP-P002,quetiapine,Seroquel,AstraZeneca,Atypical Antipsychotic,Psychiatry
HCP0106,US-TX-W,13.95,56.13,57.33,1.93,0.09,7,17,5,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0107,US-PA-W,32.98,36.67,40.66,3.72,0.03,6,10,0,COMP-OG002,ospemifene,Osphena,Duchesnay,SERM,Obstetrics & Gynecology
HCP0108,US-TX-E,57.26,29.75,27.74,7.7,0.07,12,37,4,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0109,US-FL-N,59.97,27.07,23.14,3.05,0.04,4,14,0,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0110,US-PA-W,23.72,46.98,48.84,5.96,0,3,4,0,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0111,US-NY-E,20.95,35.7,33.21,6.04,0.08,15,36,3,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0112,US-TX-E,55.17,22.93,21.02,3.53,0.06,7,12,4,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0113,US-TX-E,47.37,13.51,9.83,4.32,0.1,13,26,4,COMP-OG002,ospemifene,Osphena,Duchesnay,SERM,Obstetrics & Gynecology
HCP0114,US-PA-W,22.85,54.74,54.56,6.45,0.07,10,35,2,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0115,US-TX-E,58.14,12.82,17.49,6.88,0.07,11,40,8,COMP-PL002,fluticasone/salmeterol,Advair,GSK,ICS/LABA,Pulmonology
HCP0116,US-PA-E,14.52,41.84,39.48,0.99,0.04,4,17,2,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0117,US-TX-W,43.74,19.43,20.63,7.55,0.03,6,12,0,COMP-PL001,tiotropium,Spiriva,Boehringer,LAMA,Pulmonology
HCP0118,US-NY-E,55.47,16.04,15.12,1.12,0.09,9,25,2,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0119,US-FL-S,21.74,46.13,45.02,2.97,0.09,13,23,6,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0120,US-FL-N,54.27,23.1,26.44,4.93,0.09,9,11,7,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0121,US-TX-W,20.86,43.34,40.7,2.9,0.1,10,27,7,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0122,US-PA-E,13.03,38.28,42.96,7.59,0.08,6,31,3,COMP-G002,vedolizumab,Entyvio,Takeda,Integrin Inhibitor,Gastroenterology
HCP0123,US-TX-W,12.53,40.01,44.9,6.3,0.02,6,11,1,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0124,US-PA-W,26.43,23.69,27.7,0.02,0.09,7,14,6,COMP-D001,semaglutide,Ozempic,Novo Nordisk,GLP-1,Endocrinology
HCP0125,US-TX-E,49.93,12.2,15.86,1.05,0.04,3,15,0,COMP-NP002,finerenone,Kerendia,Bayer,MRA,Nephrology
HCP0126,US-NY-E,23.27,33.8,33.01,0.91,0.01,5,16,0,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0127,US-NY-E,35.19,43.64,39.07,6.27,0.09,13,19,5,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0128,US-PA-W,13.04,44.37,43.39,5.49,0.05,5,7,0,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0129,US-CA-S,40.41,11.31,9.06,5.06,0.05,4,17,2,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0130,US-CA-S,35.28,30.75,33.68,0.92,0.07,13,33,8,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0131,US-FL-N,31.5,42.2,41.34,6.62,0.04,2,15,3,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0132,US-PA-E,43.26,17.49,14.02,7.38,0.01,2,7,3,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0133,US-PA-E,47.23,17.45,13.75,0.48,0.1,13,20,7,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0134,US-CA-S,30.54,41.84,46.25,3.38,0.09,5,40,4,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0135,US-PA-E,27.58,34.45,31.58,5.25,0.02,2,16,2,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0136,US-TX-E,48.13,21.48,24.55,6.76,0.1,14,29,7,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0137,US-FL-S,37.84,35.22,36.8,5.55,0,2,4,1,COMP-D003,sitagliptin,Januvia,Merck,DPP-4,Endocrinology
HCP0138,US-PA-W,10.31,56.1,56.76,3.21,0.01,2,7,1,COMP-P002,quetiapine,Seroquel,AstraZeneca,Atypical Antipsychotic,Psychiatry
HCP0139,US-NY-W,30.99,28.52,27.22,5.77,0.08,14,29,2,COMP-PL002,fluticasone/salmeterol,Advair,GSK,ICS/LABA,Pulmonology
HCP0140,US-PA-W,17.78,52.63,48.13,0.65,0.04,5,20,3,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0141,US-CA-N,23.66,52.65,48.79,3.44,0.03,6,20,2,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0142,US-PA-E,21.03,59.53,55.08,1.64,0.09,7,34,4,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0143,US-CA-S,26.41,20.19,22.66,1.41,0.04,3,16,0,COMP-P002,quetiapine,Seroquel,AstraZeneca,Atypical Antipsychotic,Psychiatry
HCP0144,US-NY-W,53.09,10.85,6.04,7.37,0.09,14,23,6,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0145,US-CA-N,45.47,18.35,14.5,0.17,0.03,6,19,2,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0146,US-CA-N,31.84,22.65,22.01,3.2,0.01,4,15,1,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0147,US-NY-W,48.96,11.53,12.86,4.24,0.02,4,16,1,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0148,US-FL-S,15.14,37.68,34.41,1.22,0.08,6,15,8,COMP-C001,apixaban,Eliquis,BMS/Pfizer,DOAC,Cardiology
HCP0149,US-TX-E,33.2,34.09,34.88,5.45,0.09,15,30,6,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0150,US-PA-W,53.21,22.54,19.05,0.55,0.04,4,13,0,COMP-C002,atorvastatin,Lipitor,Pfizer,Statin,Cardiology
HCP0151,US-CA-N,35.37,27.76,27.28,0.46,0.08,6,30,8,COMP-C002,atorvastatin,Lipitor,Pfizer,Statin,Cardiology
HCP0152,US-CA-N,40.75,20.14,19.77,4.43,0.08,5,24,8,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0153,US-NY-E,26.08,31.89,28.4,0.49,0.01,4,7,1,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0154,US-FL-N,22.39,43.13,42.52,4.18,0.02,4,14,3,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0155,US-CA-S,48.72,23.58,19.1,5.05,0.03,4,8,3,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0156,US-FL-S,22.6,55.55,60.19,4.82,0.02,2,9,2,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0157,US-FL-S,58.38,23.97,22.89,4.76,0.09,9,27,5,COMP-PL002,fluticasone/salmeterol,Advair,GSK,ICS/LABA,Pulmonology
HCP0158,US-PA-W,50.66,23.4,26.69,5.91,0.07,13,12,7,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0159,US-FL-S,35.42,20.46,18.55,7.61,0.03,5,11,1,COMP-DM002,ustekinumab,Stelara,Janssen,IL-12/23 Inhibitor,Dermatology
HCP0160,US-NY-W,17.75,38.87,41.75,4.06,0.05,6,6,2,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0161,US-PA-W,16.55,41.3,37.92,6.65,0.08,7,33,5,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0162,US-FL-N,30.54,36.91,34.29,3.55,0.03,5,12,1,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0163,US-PA-W,58.28,25.69,29.73,1.55,0.07,14,24,5,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0164,US-PA-E,48.91,20.06,19.25,1.3,0.02,6,9,2,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0165,US-NY-E,42.06,27.48,28.03,0.82,0.08,6,19,2,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0166,US-FL-N,23.64,57.16,53.63,3.5,0.09,8,36,5,COMP-D001,semaglutide,Ozempic,Novo Nordisk,GLP-1,Endocrinology
HCP0167,US-CA-S,56.52,18.3,17.26,2.99,0.04,2,16,1,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0168,US-FL-S,25.93,22.48,24.63,2.68,0.01,2,14,3,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0169,US-CA-S,47.94,19.38,20.53,7.25,0,1,2,2,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0170,US-PA-E,15.56,38.64,36.65,0.38,0.04,6,19,0,COMP-OG002,ospemifene,Osphena,Duchesnay,SERM,Obstetrics & Gynecology
