hcp_id,territory_id,call_id,call_datetime_local,call_duration_minutes,transcript_text,structured_call_summary,key_topics_tags,objection_categories,compliance_redaction_flag
HCP0094,US-NY-E,CALL-2025-0019,2025-11-01 20:18:53,38,Productive conversation with Dr. Clark about payer coverage. HCP raised questions about cost concerns. Shared relevant clinical studies and real-world evidence.,Covered payer coverage and quality of life data. HCP engaged and asked thoughtful questions.,"Payer Coverage,Quality of Life Data,Cost-Effectiveness",Cost concerns,False
HCP0030,US-CA-N,CALL-2025-0020,2025-11-17 02:14:53,60,Productive conversation with Dr. Stewart about contraindications. HCP raised questions about patient out-of-pocket costs. Shared relevant clinical studies and real-world evidence.,Productive discussion on contraindications. HCP showed interest but raised questions about patient out-of-pocket costs.,"Contraindications,Drug Interactions,Dosing Guidelines",Patient out-of-pocket costs,True
HCP0001,US-TX-W,CALL-2025-0021,2025-12-19 21:10:53,21,Virtual meeting with Dr. Anderson covering comparative effectiveness and treatment guidelines. Discussed limited clinical experience and formulary considerations. Positive engagement overall.,Discussed comparative effectiveness with positive engagement. HCP expressed interest in treatment guidelines.,"Comparative Effectiveness,Treatment Guidelines,Side Effects",Limited clinical experience,False
HCP0003,US-CA-N,CALL-2025-0022,2026-01-03 02:08:53,26,Virtual meeting with Dr. Campbell covering payer coverage and pregnancy safety. Discussed black box warning concerns and formulary considerations. Positive engagement overall.,Reviewed payer coverage and addressed concerns about black box warning concerns. HCP requested additional clinical data.,"Payer Coverage,Pregnancy Safety",Black box warning concerns,False
HCP0123,US-TX-W,CALL-2025-0023,2025-11-30 20:10:53,42,Met with Dr. Ross to discuss dosing guidelines. Addressed side-effect risk with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on dosing guidelines. HCP showed interest but raised questions about side-effect risk.,"Dosing Guidelines,Formulary Status,Pharmacokinetics",Side-effect risk,False
HCP0181,US-TX-E,CALL-2025-0024,2026-01-07 01:45:53,44,Virtual meeting with Dr. Myers covering pharmacokinetics and adverse events. Discussed monitoring requirements and formulary considerations. Positive engagement overall.,Covered pharmacokinetics and adverse events. HCP engaged and asked thoughtful questions.,"Pharmacokinetics,Adverse Events,Efficacy Data,Pediatric Use",Monitoring requirements,True
HCP0096,US-TX-E,CALL-2025-0025,2026-01-17 20:51:53,53,Met with Dr. Miller to discuss comparative effectiveness. Addressed side-effect risk with comparative data. HCP requested additional information on patient outcomes.,Discussed comparative effectiveness with positive engagement. HCP expressed interest in dosing guidelines.,"Comparative Effectiveness,Dosing Guidelines",Side-effect risk,False
HCP0122,US-PA-E,CALL-2025-0026,2025-11-19 02:10:53,30,Discussion with Dr. Chavez regarding moa review. Reviewed clinical data and addressed concerns about side-effect risk. HCP showed interest in learning more about patient selection criteria.,Focused on moa review. Addressed side-effect risk with supporting evidence. Follow-up planned.,"MOA Review,Safety Profile,Clinical Trial Results",Side-effect risk,True
HCP0186,US-CA-S,CALL-2025-0027,2026-01-16 23:08:53,22,Call with Dr. Hughes focused on dosing guidelines and treatment guidelines. Discussed administration challenges and provided supporting materials. Follow-up scheduled to review additional data.,Discussed dosing guidelines with positive engagement. HCP expressed interest in treatment guidelines.,"Dosing Guidelines,Treatment Guidelines,Cost-Effectiveness",Administration challenges,True
HCP0040,US-NY-E,CALL-2025-0028,2025-12-19 03:32:53,35,Productive conversation with Dr. Diaz about efficacy data. HCP raised questions about patient compliance concerns. Shared relevant clinical studies and real-world evidence.,Productive discussion on efficacy data. HCP showed interest but raised questions about patient compliance concerns.,"Efficacy Data,Dosing Guidelines,Comparative Effectiveness",Patient compliance concerns,True
HCP0067,US-FL-S,CALL-2025-0029,2025-12-28 22:50:53,38,Virtual meeting with Dr. Mendoza covering treatment guidelines and renal dosing. Discussed cost concerns and formulary considerations. Positive engagement overall.,Reviewed treatment guidelines and addressed concerns about cost concerns. HCP requested additional clinical data.,"Treatment Guidelines,Renal Dosing,Pregnancy Safety,Hepatic Dosing",Cost concerns,False
HCP0020,US-NY-W,CALL-2025-0030,2025-10-29 20:29:53,38,Discussion with Dr. Williams regarding pharmacokinetics. Reviewed clinical data and addressed concerns about side-effect risk. HCP showed interest in learning more about patient selection criteria.,Discussed pharmacokinetics with positive engagement. HCP expressed interest in patient selection.,"Pharmacokinetics,Patient Selection",Side-effect risk,True
HCP0012,US-FL-S,CALL-2025-0031,2025-11-21 03:14:53,24,Virtual meeting with Dr. Brooks covering renal dosing and clinical trial results. Discussed administration challenges and formulary considerations. Positive engagement overall.,Covered renal dosing and clinical trial results. HCP engaged and asked thoughtful questions.,"Renal Dosing,Clinical Trial Results",Administration challenges,False
HCP0046,US-NY-W,CALL-2025-0032,2026-01-18 01:01:53,12,Discussion with Dr. Ortiz regarding dosing guidelines. Reviewed clinical data and addressed concerns about administration challenges. HCP showed interest in learning more about patient selection criteria.,Covered dosing guidelines and adverse events. HCP engaged and asked thoughtful questions.,"Dosing Guidelines,Adverse Events,Safety Profile",Administration challenges,True
HCP0042,US-PA-W,CALL-2025-0033,2025-12-25 02:46:53,52,Productive conversation with Dr. Flores about treatment guidelines. HCP raised questions about dosing complexity. Shared relevant clinical studies and real-world evidence.,Productive discussion on treatment guidelines. HCP showed interest but raised questions about dosing complexity.,"Treatment Guidelines,Prior Auth Process,Pharmacokinetics,MOA Review",Dosing complexity,False
HCP0093,US-NY-W,CALL-2025-0034,2025-11-11 03:53:53,26,Met with Dr. Kelly to discuss formulary status. Addressed side-effect risk with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on formulary status. HCP showed interest but raised questions about side-effect risk.,"Formulary Status,Safety Profile,MOA Review,Geriatric Considerations",Side-effect risk,False
HCP0169,US-CA-S,CALL-2025-0035,2026-01-15 22:53:53,32,Productive conversation with Dr. Mitchell about efficacy data. HCP raised questions about dosing complexity. Shared relevant clinical studies and real-world evidence.,Discussed efficacy data with positive engagement. HCP expressed interest in dosing guidelines.,"Efficacy Data,Dosing Guidelines,Renal Dosing",Dosing complexity,True
HCP0002,US-PA-E,CALL-2025-0036,2025-12-22 20:14:53,42,Met with Dr. Ramirez to discuss drug interactions. Addressed pediatric use with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on drug interactions. HCP showed interest but raised questions about pediatric use.,"Drug Interactions,Contraindications,Pediatric Use",Pediatric Use,True
HCP0058,US-FL-S,CALL-2025-0037,2026-01-05 20:54:53,50,Productive conversation with Dr. Torres about quality of life data. HCP raised questions about patient compliance concerns. Shared relevant clinical studies and real-world evidence.,Covered quality of life data and payer coverage. HCP engaged and asked thoughtful questions.,"Quality of Life Data,Payer Coverage,Side Effects",Patient compliance concerns,False
HCP0190,US-NY-E,CALL-2025-0038,2026-01-05 23:01:53,40,Met with Dr. Murphy to discuss dosing guidelines. Addressed patient compliance concerns with comparative data. HCP requested additional information on patient outcomes.,Focused on dosing guidelines. Addressed patient compliance concerns with supporting evidence. Follow-up planned.,"Dosing Guidelines,Prior Auth Process,Geriatric Considerations",Patient compliance concerns,False
HCP0152,US-CA-N,CALL-2025-0039,2025-10-26 21:32:53,57,Productive conversation with Dr. Patel about efficacy data. HCP raised questions about lack of evidence. Shared relevant clinical studies and real-world evidence.,Reviewed efficacy data and addressed concerns about lack of evidence. HCP requested additional clinical data.,"Efficacy Data,MOA Review,Renal Dosing",Lack of evidence,False
HCP0168,US-FL-S,CALL-2025-0040,2025-10-31 23:12:53,30,Call with Dr. Flores focused on geriatric considerations and pharmacokinetics. Discussed dosing complexity and provided supporting materials. Follow-up scheduled to review additional data.,Focused on geriatric considerations. Addressed dosing complexity with supporting evidence. Follow-up planned.,"Geriatric Considerations,Pharmacokinetics,Cost-Effectiveness,Treatment Guidelines",Dosing complexity,False
HCP0117,US-TX-W,CALL-2025-0041,2025-11-02 03:45:53,26,Met with Dr. Jones to discuss payer coverage. Addressed prior authorization burden with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on payer coverage. HCP showed interest but raised questions about prior authorization burden.,"Payer Coverage,Efficacy Data,Comparative Effectiveness,Pregnancy Safety",Prior authorization burden,True
HCP0139,US-NY-W,CALL-2025-0042,2025-10-28 01:20:53,34,Call with Dr. Scott focused on prior auth process and safety profile. Discussed administration challenges and provided supporting materials. Follow-up scheduled to review additional data.,Discussed prior auth process with positive engagement. HCP expressed interest in safety profile.,"Prior Auth Process,Safety Profile,Clinical Trial Results,Payer Coverage",Administration challenges,False
HCP0156,US-FL-S,CALL-2025-0043,2025-11-10 19:13:53,52,Productive conversation with Dr. Cook about renal dosing. HCP raised questions about patient compliance concerns. Shared relevant clinical studies and real-world evidence.,Discussed renal dosing with positive engagement. HCP expressed interest in contraindications.,"Renal Dosing,Contraindications,Step Therapy Requirements,Safety Profile",Patient compliance concerns,False
HCP0083,US-FL-N,CALL-2025-0044,2025-11-05 02:33:53,35,Productive conversation with Dr. Castillo about patient selection. HCP raised questions about limited clinical experience. Shared relevant clinical studies and real-world evidence.,Discussed patient selection with positive engagement. HCP expressed interest in quality of life data.,"Patient Selection,Quality of Life Data",Limited clinical experience,True
HCP0161,US-PA-W,CALL-2025-0045,2025-10-30 20:43:53,21,Call with Dr. Lee focused on pregnancy safety and pediatric use. Discussed cost concerns and provided supporting materials. Follow-up scheduled to review additional data.,Reviewed pregnancy safety and addressed concerns about cost concerns. HCP requested additional clinical data.,"Pregnancy Safety,Pediatric Use,Prior Auth Process,Contraindications",Cost concerns,False
HCP0182,US-CA-S,CALL-2025-0046,2026-01-07 19:29:53,25,Virtual meeting with Dr. Nelson covering pregnancy safety and renal dosing. Discussed administration challenges and formulary considerations. Positive engagement overall.,Reviewed pregnancy safety and addressed concerns about administration challenges. HCP requested additional clinical data.,"Pregnancy Safety,Renal Dosing,MOA Review",Administration challenges,True
HCP0172,US-FL-S,CALL-2025-0047,2025-11-25 19:44:53,28,Met with Dr. Ramos to discuss adverse events. Addressed administration challenges with comparative data. HCP requested additional information on patient outcomes.,Discussed adverse events with positive engagement. HCP expressed interest in drug interactions.,"Adverse Events,Drug Interactions,Side Effects,Renal Dosing",Administration challenges,False
HCP0013,US-TX-W,CALL-2025-0048,2026-01-04 20:37:53,10,Call with Dr. Thompson focused on dosing guidelines and adverse events. Discussed drug interactions and provided supporting materials. Follow-up scheduled to review additional data.,Productive discussion on dosing guidelines. HCP showed interest but raised questions about drug interactions.,"Dosing Guidelines,Adverse Events,Efficacy Data",Drug Interactions,False
HCP0056,US-FL-S,CALL-2025-0049,2025-11-06 03:34:53,54,Call with Dr. White focused on drug interactions and efficacy data. Discussed formulary restrictions and provided supporting materials. Follow-up scheduled to review additional data.,Discussed drug interactions with positive engagement. HCP expressed interest in efficacy data.,"Drug Interactions,Efficacy Data,Quality of Life Data,Adverse Events",Formulary restrictions,False
HCP0078,US-PA-E,CALL-2025-0050,2025-12-06 02:48:53,60,Met with Dr. Morris to discuss dosing guidelines. Addressed side-effect risk with comparative data. HCP requested additional information on patient outcomes.,Discussed dosing guidelines with positive engagement. HCP expressed interest in prior auth process.,"Dosing Guidelines,Prior Auth Process",Side-effect risk,True
HCP0023,US-FL-N,CALL-2025-0051,2025-12-08 20:42:53,37,Productive conversation with Dr. Harris about long-term safety. HCP raised questions about prefers current therapy. Shared relevant clinical studies and real-world evidence.,Discussed long-term safety with positive engagement. HCP expressed interest in hepatic dosing.,"Long-term Safety,Hepatic Dosing,Renal Dosing",Prefers current therapy,False
HCP0130,US-CA-S,CALL-2025-0052,2025-12-19 22:42:53,16,Discussion with Dr. Gonzalez regarding quality of life data. Reviewed clinical data and addressed concerns about contraindication concerns. HCP showed interest in learning more about patient selection criteria.,Reviewed quality of life data and addressed concerns about contraindication concerns. HCP requested additional clinical data.,"Quality of Life Data,Pediatric Use,Safety Profile",Contraindication concerns,False
HCP0106,US-TX-W,CALL-2025-0053,2025-12-13 00:54:53,32,Virtual meeting with Dr. Edwards covering prior auth process and payer coverage. Discussed contraindication concerns and formulary considerations. Positive engagement overall.,Discussed prior auth process with positive engagement. HCP expressed interest in payer coverage.,"Prior Auth Process,Payer Coverage,Formulary Status",Contraindication concerns,True
HCP0103,US-CA-N,CALL-2025-0054,2026-01-15 21:06:53,39,Met with Dr. Kelly to discuss moa review. Addressed monitoring requirements with comparative data. HCP requested additional information on patient outcomes.,Reviewed moa review and addressed concerns about monitoring requirements. HCP requested additional clinical data.,"MOA Review,Long-term Safety,Drug Interactions,Adverse Events",Monitoring requirements,True
HCP0160,US-NY-W,CALL-2025-0055,2026-01-03 20:31:53,31,Productive conversation with Dr. Mitchell about efficacy data. HCP raised questions about monitoring requirements. Shared relevant clinical studies and real-world evidence.,Reviewed efficacy data and addressed concerns about monitoring requirements. HCP requested additional clinical data.,"Efficacy Data,Treatment Guidelines,MOA Review,Pregnancy Safety",Monitoring requirements,True
HCP0010,US-CA-S,CALL-2025-0056,2025-12-17 21:35:53,31,Met with Dr. Richardson to discuss geriatric considerations. Addressed contraindication concerns with comparative data. HCP requested additional information on patient outcomes.,Discussed geriatric considerations with positive engagement. HCP expressed interest in pediatric use.,"Geriatric Considerations,Pediatric Use,Contraindications,Formulary Status",Contraindication concerns,False
HCP0016,US-NY-W,CALL-2025-0057,2025-12-05 01:58:53,45,Call with Dr. Walker focused on step therapy requirements and cost-effectiveness. Discussed black box warning concerns and provided supporting materials. Follow-up scheduled to review additional data.,Discussed step therapy requirements with positive engagement. HCP expressed interest in cost-effectiveness.,"Step Therapy Requirements,Cost-Effectiveness,Pharmacokinetics,Geriatric Considerations",Black box warning concerns,False
HCP0151,US-CA-N,CALL-2025-0058,2026-01-19 03:45:53,39,Call with Dr. Wilson focused on dosing guidelines and hepatic dosing. Discussed monitoring requirements and provided supporting materials. Follow-up scheduled to review additional data.,Covered dosing guidelines and hepatic dosing. HCP engaged and asked thoughtful questions.,"Dosing Guidelines,Hepatic Dosing,Payer Coverage",Monitoring requirements,True
HCP0077,US-PA-W,CALL-2025-0059,2025-12-30 18:53:53,29,Discussion with Dr. Reyes regarding real-world evidence. Reviewed clinical data and addressed concerns about cost concerns. HCP showed interest in learning more about patient selection criteria.,Reviewed real-world evidence and addressed concerns about cost concerns. HCP requested additional clinical data.,"Real-world Evidence,Safety Profile,Payer Coverage,Side Effects",Cost concerns,False
HCP0120,US-FL-N,CALL-2025-0060,2025-10-25 21:02:53,54,Discussion with Dr. Cook regarding moa review. Reviewed clinical data and addressed concerns about side-effect risk. HCP showed interest in learning more about patient selection criteria.,Productive discussion on moa review. HCP showed interest but raised questions about side-effect risk.,"MOA Review,Cost-Effectiveness,Contraindications,Efficacy Data",Side-effect risk,True
HCP0072,US-PA-E,CALL-2025-0061,2025-10-22 19:07:53,17,Call with Dr. Long focused on pediatric use and moa review. Discussed insurance coverage issues and provided supporting materials. Follow-up scheduled to review additional data.,Discussed pediatric use with positive engagement. HCP expressed interest in moa review.,"Pediatric Use,MOA Review,Hepatic Dosing",Insurance coverage issues,True
HCP0091,US-TX-E,CALL-2025-0062,2025-12-06 18:42:53,41,Productive conversation with Dr. Gomez about real-world evidence. HCP raised questions about side-effect risk. Shared relevant clinical studies and real-world evidence.,Discussed real-world evidence with positive engagement. HCP expressed interest in pharmacokinetics.,"Real-world Evidence,Pharmacokinetics,Clinical Trial Results",Side-effect risk,True
HCP0101,US-TX-E,CALL-2025-0063,2025-12-18 22:42:53,29,Met with Dr. Davis to discuss clinical trial results. Addressed contraindication concerns with comparative data. HCP requested additional information on patient outcomes.,Discussed clinical trial results with positive engagement. HCP expressed interest in adverse events.,"Clinical Trial Results,Adverse Events",Contraindication concerns,False
HCP0045,US-CA-S,CALL-2025-0064,2025-12-16 22:14:53,37,Call with Dr. Martinez focused on geriatric considerations and dosing guidelines. Discussed patient compliance concerns and provided supporting materials. Follow-up scheduled to review additional data.,Covered geriatric considerations and dosing guidelines. HCP engaged and asked thoughtful questions.,"Geriatric Considerations,Dosing Guidelines,Efficacy Data,Cost-Effectiveness",Patient compliance concerns,True
HCP0095,US-NY-E,CALL-2025-0065,2025-11-05 01:34:53,21,Met with Dr. Edwards to discuss hepatic dosing. Addressed limited clinical experience with comparative data. HCP requested additional information on patient outcomes.,Reviewed hepatic dosing and addressed concerns about limited clinical experience. HCP requested additional clinical data.,"Hepatic Dosing,Prior Auth Process,Pediatric Use,Formulary Status",Limited clinical experience,True
HCP0177,US-NY-W,CALL-2025-0066,2025-12-21 02:29:53,56,Discussion with Dr. Gomez regarding adverse events. Reviewed clinical data and addressed concerns about black box warning concerns. HCP showed interest in learning more about patient selection criteria.,Covered adverse events and step therapy requirements. HCP engaged and asked thoughtful questions.,"Adverse Events,Step Therapy Requirements",Black box warning concerns,False
HCP0143,US-CA-S,CALL-2025-0067,2025-10-24 01:34:53,24,Met with Dr. Carter to discuss side effects. Addressed drug interactions with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on side effects. HCP showed interest but raised questions about drug interactions.,"Side Effects,Comparative Effectiveness,Dosing Guidelines,Adverse Events",Drug Interactions,True
HCP0114,US-PA-W,CALL-2025-0068,2025-10-30 23:40:53,10,Met with Dr. Wilson to discuss step therapy requirements. Addressed limited clinical experience with comparative data. HCP requested additional information on patient outcomes.,Discussed step therapy requirements with positive engagement. HCP expressed interest in cost-effectiveness.,"Step Therapy Requirements,Cost-Effectiveness",Limited clinical experience,False
HCP0054,US-NY-W,CALL-2025-0069,2025-12-25 18:39:53,42,Virtual meeting with Dr. Myers covering cost-effectiveness and drug interactions. Discussed side-effect risk and formulary considerations. Positive engagement overall.,Discussed cost-effectiveness with positive engagement. HCP expressed interest in drug interactions.,"Cost-Effectiveness,Drug Interactions",Side-effect risk,False
HCP0021,US-CA-N,CALL-2025-0070,2025-11-16 02:49:53,24,Productive conversation with Dr. Sanchez about pregnancy safety. HCP raised questions about side-effect risk. Shared relevant clinical studies and real-world evidence.,Reviewed pregnancy safety and addressed concerns about side-effect risk. HCP requested additional clinical data.,"Pregnancy Safety,Quality of Life Data,Comparative Effectiveness",Side-effect risk,False
HCP0031,US-TX-E,CALL-2025-0071,2025-12-03 20:31:53,38,Call with Dr. Harris focused on dosing guidelines and geriatric considerations. Discussed cost concerns and provided supporting materials. Follow-up scheduled to review additional data.,Covered dosing guidelines and geriatric considerations. HCP engaged and asked thoughtful questions.,"Dosing Guidelines,Geriatric Considerations,MOA Review",Cost concerns,False
HCP0115,US-TX-E,CALL-2025-0072,2025-11-15 22:33:53,56,Discussion with Dr. Kelly regarding treatment guidelines. Reviewed clinical data and addressed concerns about monitoring requirements. HCP showed interest in learning more about patient selection criteria.,Focused on treatment guidelines. Addressed monitoring requirements with supporting evidence. Follow-up planned.,"Treatment Guidelines,Renal Dosing,Comparative Effectiveness",Monitoring requirements,False
HCP0173,US-TX-E,CALL-2025-0073,2025-11-06 19:18:53,23,Virtual meeting with Dr. Morgan covering moa review and payer coverage. Discussed drug interactions and formulary considerations. Positive engagement overall.,Reviewed moa review and addressed concerns about drug interactions. HCP requested additional clinical data.,"MOA Review,Payer Coverage",Drug Interactions,True
HCP0027,US-NY-E,CALL-2025-0074,2025-11-14 23:01:53,32,Call with Dr. Jackson focused on hepatic dosing and geriatric considerations. Discussed cost concerns and provided supporting materials. Follow-up scheduled to review additional data.,Covered hepatic dosing and geriatric considerations. HCP engaged and asked thoughtful questions.,"Hepatic Dosing,Geriatric Considerations",Cost concerns,False
HCP0051,US-TX-E,CALL-2025-0075,2025-12-29 19:38:53,10,Discussion with Dr. Lee regarding step therapy requirements. Reviewed clinical data and addressed concerns about formulary restrictions. HCP showed interest in learning more about patient selection criteria.,Discussed step therapy requirements with positive engagement. HCP expressed interest in formulary status.,"Step Therapy Requirements,Formulary Status",Formulary restrictions,True
HCP0193,US-TX-W,CALL-2025-0076,2025-12-31 22:45:53,47,Discussion with Dr. Anderson regarding safety profile. Reviewed clinical data and addressed concerns about drug interactions. HCP showed interest in learning more about patient selection criteria.,Discussed safety profile with positive engagement. HCP expressed interest in step therapy requirements.,"Safety Profile,Step Therapy Requirements,Clinical Trial Results,Geriatric Considerations",Drug Interactions,False
HCP0180,US-PA-W,CALL-2025-0077,2025-11-08 00:29:53,37,Discussion with Dr. James regarding efficacy data. Reviewed clinical data and addressed concerns about administration challenges. HCP showed interest in learning more about patient selection criteria.,Focused on efficacy data. Addressed administration challenges with supporting evidence. Follow-up planned.,"Efficacy Data,Drug Interactions,Hepatic Dosing",Administration challenges,False
HCP0185,US-NY-W,CALL-2025-0078,2026-01-01 04:20:53,39,Virtual meeting with Dr. Garcia covering prior auth process and dosing guidelines. Discussed side-effect risk and formulary considerations. Positive engagement overall.,Discussed prior auth process with positive engagement. HCP expressed interest in dosing guidelines.,"Prior Auth Process,Dosing Guidelines,Cost-Effectiveness,Payer Coverage",Side-effect risk,True
HCP0200,US-TX-E,CALL-2025-0079,2025-11-01 00:30:53,51,Discussion with Dr. Gomez regarding moa review. Reviewed clinical data and addressed concerns about patient compliance concerns. HCP showed interest in learning more about patient selection criteria.,Productive discussion on moa review. HCP showed interest but raised questions about patient compliance concerns.,"MOA Review,Efficacy Data",Patient compliance concerns,True
HCP0110,US-PA-W,CALL-2025-0080,2025-12-11 19:46:53,50,Productive conversation with Dr. Kelly about real-world evidence. HCP raised questions about monitoring requirements. Shared relevant clinical studies and real-world evidence.,Focused on real-world evidence. Addressed monitoring requirements with supporting evidence. Follow-up planned.,"Real-world Evidence,Safety Profile,Treatment Guidelines",Monitoring requirements,True
