user_id,hcp_id,territory_id
REP-105,HCP0098,US-CA-S
REP-115,HCP0099,US-TX-E
REP-112,HCP0100,US-PA-E
REP-106,HCP0101,US-TX-E
REP-109,HCP0102,US-TX-W
REP-108,HCP0103,US-CA-N
REP-116,HCP0104,US-CA-N
REP-106,HCP0105,US-FL-S
REP-117,HCP0106,US-TX-W
REP-102,HCP0107,US-PA-W
REP-111,HCP0108,US-TX-E
REP-103,HCP0109,US-FL-N
REP-105,HCP0110,US-PA-W
REP-120,HCP0111,US-NY-E
REP-105,HCP0112,US-TX-E
REP-116,HCP0113,US-TX-E
REP-114,HCP0114,US-PA-W
REP-113,HCP0115,US-TX-E
REP-108,HCP0116,US-PA-E
REP-115,HCP0117,US-TX-W
REP-106,HCP0118,US-NY-E
REP-107,HCP0119,US-FL-S
REP-119,HCP0120,US-FL-N
REP-112,HCP0121,US-TX-W
REP-102,HCP0122,US-PA-E
REP-109,HCP0123,US-TX-W
REP-104,HCP0124,US-PA-W
REP-102,HCP0125,US-TX-E
REP-106,HCP0126,US-NY-E
REP-115,HCP0127,US-NY-E
REP-113,HCP0128,US-PA-W
REP-116,HCP0129,US-CA-S
REP-110,HCP0130,US-CA-S
REP-116,HCP0131,US-FL-N
REP-118,HCP0132,US-PA-E
REP-108,HCP0133,US-PA-E
REP-113,HCP0134,US-CA-S
REP-113,HCP0135,US-PA-E
REP-116,HCP0136,US-TX-E
REP-109,HCP0137,US-FL-S
REP-105,HCP0138,US-PA-W
REP-117,HCP0139,US-NY-W
REP-114,HCP0140,US-PA-W
REP-101,HCP0141,US-CA-N
REP-110,HCP0142,US-PA-E
REP-115,HCP0143,US-CA-S
REP-113,HCP0144,US-NY-W
REP-111,HCP0145,US-CA-N
REP-117,HCP0146,US-CA-N
REP-102,HCP0147,US-NY-W
REP-104,HCP0148,US-FL-S
REP-118,HCP0149,US-TX-E
REP-112,HCP0150,US-PA-W
REP-114,HCP0151,US-CA-N
REP-120,HCP0152,US-CA-N
REP-109,HCP0153,US-NY-E
REP-111,HCP0154,US-FL-N
REP-109,HCP0155,US-CA-S
REP-109,HCP0156,US-FL-S
REP-104,HCP0157,US-FL-S
REP-109,HCP0158,US-PA-W
REP-119,HCP0159,US-FL-S
REP-113,HCP0160,US-NY-W
REP-115,HCP0161,US-PA-W
REP-108,HCP0162,US-FL-N
REP-119,HCP0163,US-PA-W
REP-107,HCP0164,US-PA-E
REP-117,HCP0165,US-NY-E
REP-111,HCP0166,US-FL-N
REP-106,HCP0167,US-CA-S
REP-111,HCP0168,US-FL-S
REP-118,HCP0169,US-CA-S
REP-101,HCP0170,US-PA-E
REP-101,HCP0171,US-CA-N
REP-103,HCP0172,US-FL-S
REP-101,HCP0173,US-TX-E
REP-114,HCP0174,US-FL-N
REP-104,HCP0175,US-PA-W
REP-117,HCP0176,US-PA-E
REP-104,HCP0177,US-NY-W
REP-115,HCP0178,US-TX-E
REP-112,HCP0179,US-CA-N
REP-108,HCP0180,US-PA-W
REP-110,HCP0181,US-TX-E
REP-109,HCP0182,US-CA-S
REP-107,HCP0183,US-TX-W
REP-102,HCP0184,US-PA-W
REP-101,HCP0185,US-NY-W
REP-120,HCP0186,US-CA-S
REP-103,HCP0187,US-CA-N
REP-102,HCP0188,US-FL-S
REP-120,HCP0189,US-CA-S
REP-107,HCP0190,US-NY-E
REP-120,HCP0191,US-NY-W
REP-104,HCP0192,US-TX-E
REP-104,HCP0193,US-TX-W
REP-103,HCP0194,US-FL-N
REP-120,HCP0195,US-PA-W
REP-105,HCP0196,US-NY-W
REP-113,HCP0197,US-CA-S
REP-119,HCP0198,US-NY-W
REP-106,HCP0199,US-TX-E
REP-104,HCP0200,US-TX-E
