hcp_id,call_id,followup_template_id,followup_email_subject,followup_email_body,mi_request_flag,mi_response_template_id,compliance_approval_status,compliance_rule_ids,compliance_evidence,redaction_required,redaction_segments,automated_send_allowed,human_review_required,escalation_team,escalated_at,resolved_by,resolution_notes,provenance_key,created_by,followup_sent_datetime,send_status,sla_met_flag,region,scheduled_followup_call_date
HCP0192,CALL-2025-0085,TMPL-291,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-15,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,,,,PROV-57951,REP-117,2026-01-30,Pending,FALSE,TX,2026-01-31
HCP0178,CALL-2025-0016,TMPL-482,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-25,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,,,,,PROV-45160,REP-111,2026-01-23,Sent,FALSE,TX,2026-01-25
HCP0043,CALL-2025-0067,TMPL-547,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-26,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,TRUE,Medical Affairs,,,,PROV-20364,REP-106,2026-01-26,Pending,FALSE,CA,2026-01-28
HCP0066,CALL-2025-0025,TMPL-122,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-20,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",TRUE,FALSE,,,,,PROV-58655,REP-119,2026-01-28,Pending,FALSE,TX,2026-02-19
HCP0010,CALL-2025-0031,TMPL-964,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-345,Approved,RULE-30,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,,,,PROV-47475,REP-102,2026-01-27,Scheduled,FALSE,CA,2026-02-21
HCP0082,CALL-2025-0129,TMPL-657,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-27,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Compliance,,,,PROV-84261,REP-114,2026-02-02,Sent,FALSE,PA,2026-01-30
HCP0111,CALL-2025-0148,TMPL-206,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-47,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,Compliance,2026-01-20,,,PROV-81956,REP-115,2026-01-26,Sent,FALSE,NY,2026-01-30
HCP0028,CALL-2025-0099,TMPL-260,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-18,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Medical Affairs,,,,PROV-98960,REP-116,2026-01-28,Sent,TRUE,PA,2026-01-31
HCP0057,CALL-2025-0017,TMPL-298,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-22,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Medical Affairs,,,,PROV-99386,REP-111,2026-01-30,Pending,TRUE,FL,2026-02-19
HCP0114,CALL-2025-0076,TMPL-579,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-163,Not Required,RULE-3,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,TRUE,Compliance,2026-01-20,,,PROV-95075,REP-117,2026-01-26,Scheduled,TRUE,PA,2026-02-18
HCP0083,CALL-2025-0019,TMPL-125,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Approved,RULE-47,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Medical Affairs,,Compliance Manager,,PROV-65760,REP-101,2026-01-23,Scheduled,FALSE,FL,2026-02-14
HCP0166,CALL-2025-0013,TMPL-687,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-41,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Compliance,,,,PROV-55332,REP-112,2026-01-26,Scheduled,TRUE,FL,2026-02-18
HCP0046,CALL-2025-0010,TMPL-894,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-39,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,Medical Affairs,,,,PROV-90657,REP-112,2026-01-31,Scheduled,TRUE,NY,2026-02-09
HCP0019,CALL-2025-0032,TMPL-251,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-15,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",TRUE,TRUE,Medical Affairs,,,,PROV-39105,REP-112,2026-01-26,Sent,TRUE,TX,2026-02-19
HCP0182,CALL-2025-0152,TMPL-533,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-31,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Compliance,,,,PROV-75252,REP-104,2026-01-26,Scheduled,TRUE,CA,2026-01-25
HCP0007,CALL-2025-0098,TMPL-490,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-227,Approved,RULE-26,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,,,,PROV-97322,REP-114,2026-01-26,Scheduled,FALSE,CA,2026-02-04
HCP0141,CALL-2025-0057,TMPL-980,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-29,"Approved promotional content, no off-label discussion",FALSE,,TRUE,TRUE,,2026-01-20,,,PROV-31153,REP-117,2026-01-31,Sent,TRUE,CA,2026-01-27
HCP0048,CALL-2025-0132,TMPL-399,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-48,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,2026-01-20,,,PROV-59417,REP-106,2026-01-02,Scheduled,FALSE,CA,2026-01-30
HCP0110,CALL-2025-0105,TMPL-480,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-750,Not Required,RULE-31,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Medical Affairs,,,,PROV-46146,REP-104,2026-01-26,Sent,TRUE,PA,2026-02-14
HCP0004,CALL-2025-0137,TMPL-785,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-50,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,Compliance,,,,PROV-60510,REP-106,2026-01-30,Pending,TRUE,TX,2026-02-16
HCP0101,CALL-2025-0079,TMPL-903,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-948,Not Required,RULE-31,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Medical Affairs,,,,PROV-84537,REP-103,2026-01-31,Sent,TRUE,TX,2026-02-12
HCP0170,CALL-2025-0061,TMPL-188,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-679,Not Required,RULE-22,"Approved promotional content, no off-label discussion",FALSE,,TRUE,TRUE,,,,,PROV-37724,REP-119,2026-01-28,Pending,FALSE,PA,2026-01-30
HCP0124,CALL-2025-0116,TMPL-608,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-922,Approved,RULE-9,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,,,,,PROV-95462,REP-116,2026-01-31,Sent,TRUE,PA,2026-02-07
HCP0031,CALL-2025-0003,TMPL-777,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-37,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Medical Affairs,,,,PROV-63213,REP-102,2026-03-02,Scheduled,FALSE,TX,2026-02-14
HCP0157,CALL-2025-0124,TMPL-175,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-15,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Medical Affairs,,,,PROV-13711,REP-115,2026-01-26,Pending,FALSE,FL,2026-02-20
HCP0196,CALL-2025-0046,TMPL-657,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-752,Approved,RULE-41,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Medical Affairs,,,,PROV-77173,REP-119,2026-02-02,Scheduled,FALSE,NY,2026-01-29
HCP0039,CALL-2025-0043,TMPL-338,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-223,Not Required,RULE-5,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,FALSE,Medical Affairs,,,,PROV-93897,REP-115,2026-01-25,Pending,FALSE,NY,2026-02-20
HCP0137,CALL-2025-0070,TMPL-828,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-674,Pending,RULE-26,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Medical Affairs,,,,PROV-69000,REP-110,2026-01-23,Sent,FALSE,FL,2026-02-15
HCP0023,CALL-2025-0091,TMPL-494,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Approved,RULE-17,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,,,,PROV-36106,REP-102,2026-01-26,Scheduled,FALSE,FL,2026-02-18
HCP0085,CALL-2025-0027,TMPL-678,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-6,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",FALSE,TRUE,,,,,PROV-36986,REP-102,2026-01-27,Scheduled,FALSE,NY,2026-01-25
HCP0054,CALL-2025-0139,TMPL-577,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-11,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Medical Affairs,,,,PROV-51158,REP-120,2026-01-02,Pending,FALSE,NY,2026-01-29
HCP0047,CALL-2025-0083,TMPL-502,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-16,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,FALSE,,,,,PROV-19567,REP-110,2026-01-02,Scheduled,TRUE,NY,2026-02-18
HCP0160,CALL-2025-0097,TMPL-683,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-18,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Medical Affairs,,,,PROV-96164,REP-118,2026-01-29,Sent,TRUE,NY,2026-02-06
HCP0008,CALL-2025-0147,TMPL-148,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-840,Pending,RULE-47,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",FALSE,TRUE,Compliance,,Medical Director,,PROV-26919,REP-102,2026-01-26,Scheduled,TRUE,TX,2026-02-11
HCP0136,CALL-2025-0037,TMPL-981,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-34,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Medical Affairs,,,,PROV-26470,REP-102,2026-01-24,Sent,TRUE,TX,2026-02-09
HCP0078,CALL-2025-0082,TMPL-409,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-5,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Compliance,,,,PROV-56631,REP-104,2026-01-23,Sent,TRUE,PA,2026-02-09
HCP0149,CALL-2025-0023,TMPL-851,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-34,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Compliance,,,,PROV-20339,REP-119,2026-01-26,Scheduled,TRUE,TX,2026-02-07
HCP0050,CALL-2025-0144,TMPL-367,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-812,Pending,RULE-26,"Approved promotional content, no off-label discussion",FALSE,,TRUE,TRUE,,,,,PROV-36830,REP-110,2026-01-24,Sent,TRUE,NY,2026-02-15
HCP0190,CALL-2025-0068,TMPL-261,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-20,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Compliance,,,,PROV-40407,REP-115,2026-01-29,Scheduled,FALSE,NY,2026-02-05
HCP0071,CALL-2025-0115,TMPL-859,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-910,Not Required,RULE-21,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,,2026-01-20,,,PROV-95697,REP-103,2026-01-31,Scheduled,FALSE,FL,2026-02-17
HCP0183,CALL-2025-0012,TMPL-392,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-138,Pending,RULE-14,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Compliance,,,,PROV-89888,REP-109,2026-01-30,Pending,FALSE,TX,2026-02-14
HCP0120,CALL-2025-0066,TMPL-285,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Approved,RULE-13,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Compliance,,,,PROV-62595,REP-119,2026-01-28,Sent,TRUE,FL,2026-02-16
HCP0086,CALL-2025-0086,TMPL-998,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-302,Pending,RULE-27,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Medical Affairs,,,,PROV-67349,REP-114,2026-01-26,Sent,FALSE,FL,2026-02-07
HCP0070,CALL-2025-0007,TMPL-724,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-866,Approved,RULE-12,"Approved promotional content, no off-label discussion",FALSE,,TRUE,TRUE,Compliance,2026-01-20,,,PROV-40255,REP-119,2026-01-02,Scheduled,FALSE,NY,2026-01-28
HCP0068,CALL-2025-0028,TMPL-274,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-833,Approved,RULE-3,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,,,,,PROV-12147,REP-103,2026-01-30,Pending,TRUE,CA,2026-02-06
HCP0027,CALL-2025-0077,TMPL-777,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-482,Approved,RULE-29,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,FALSE,,,,,PROV-72427,REP-116,2026-01-25,Pending,FALSE,NY,2026-01-29
HCP0134,CALL-2025-0140,TMPL-208,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-468,Not Required,RULE-35,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,,,,,PROV-76294,REP-103,2026-01-29,Sent,TRUE,CA,2026-02-15
HCP0185,CALL-2025-0127,TMPL-713,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-19,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",TRUE,TRUE,Medical Affairs,,,,PROV-85157,REP-103,2026-01-28,Sent,TRUE,NY,2026-02-08
HCP0198,CALL-2025-0042,TMPL-186,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-568,Not Required,RULE-3,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,,2026-01-20,Compliance Manager,,PROV-69561,REP-102,2026-01-25,Pending,FALSE,NY,2026-02-12
HCP0129,CALL-2025-0005,TMPL-136,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-40,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,,,,,PROV-74748,REP-104,2026-03-02,Sent,TRUE,CA,2026-02-10
HCP0139,CALL-2025-0136,TMPL-604,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-670,Pending,RULE-12,"Approved promotional content, no off-label discussion",TRUE,,FALSE,TRUE,Compliance,,,,PROV-99014,REP-111,2026-01-25,Scheduled,FALSE,NY,2026-02-17
HCP0056,CALL-2025-0033,TMPL-761,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-48,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Medical Affairs,,,,PROV-12427,REP-110,2026-01-02,Scheduled,FALSE,FL,2026-02-04
HCP0148,CALL-2025-0128,TMPL-713,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-121,Approved,RULE-1,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Compliance,,,,PROV-34833,REP-115,2026-01-31,Pending,FALSE,FL,2026-02-04
HCP0095,CALL-2025-0133,TMPL-818,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-14,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",FALSE,FALSE,Compliance,,,,PROV-75274,REP-116,2026-01-02,Pending,TRUE,NY,2026-01-29
HCP0091,CALL-2025-0069,TMPL-467,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-23,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,,,,PROV-30665,REP-105,2026-01-25,Scheduled,FALSE,TX,2026-01-26
HCP0067,CALL-2025-0011,TMPL-173,Payer Access Information,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-255,Not Required,RULE-21,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,,,,PROV-30207,REP-114,2026-01-24,Sent,FALSE,FL,2026-02-16
HCP0195,CALL-2025-0096,TMPL-882,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-22,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Compliance,,,,PROV-39233,REP-118,2026-02-02,Sent,TRUE,PA,2026-01-26
HCP0147,CALL-2025-0110,TMPL-687,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-757,Approved,RULE-12,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Medical Affairs,,,,PROV-24765,REP-112,2026-01-27,Scheduled,TRUE,NY,2026-01-31
HCP0096,CALL-2025-0001,TMPL-656,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Pending,RULE-1,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Medical Affairs,,,,PROV-50541,REP-110,2026-01-29,Sent,TRUE,TX,2026-02-19
HCP0029,CALL-2025-0120,TMPL-913,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-32,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,,,,PROV-60818,REP-113,2026-01-23,Pending,FALSE,PA,2026-01-25
HCP0001,CALL-2025-0112,TMPL-418,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Approved,RULE-19,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Compliance,,,,PROV-12242,REP-110,2026-03-02,Scheduled,TRUE,TX,2026-02-02
HCP0036,CALL-2025-0065,TMPL-391,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Approved,RULE-19,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",TRUE,TRUE,Medical Affairs,,,,PROV-63248,REP-119,2026-01-23,Scheduled,FALSE,FL,2026-02-04
HCP0123,CALL-2025-0045,TMPL-807,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-8,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Medical Affairs,,,,PROV-32032,REP-101,2026-01-02,Sent,TRUE,TX,2026-01-27
HCP0162,CALL-2025-0087,TMPL-301,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-505,Approved,RULE-7,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Compliance,,,,PROV-40794,REP-118,2026-01-28,Scheduled,TRUE,FL,2026-02-13
HCP0126,CALL-2025-0029,TMPL-666,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-11,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Compliance,,,,PROV-41990,REP-108,2026-01-28,Sent,TRUE,NY,2026-02-02
HCP0080,CALL-2025-0041,TMPL-724,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-595,Pending,RULE-48,"Approved promotional content, no off-label discussion",TRUE,,TRUE,FALSE,Compliance,,,,PROV-66892,REP-118,2026-01-31,Pending,TRUE,CA,2026-02-04
HCP0199,CALL-2025-0113,TMPL-176,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-13,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,,,,PROV-39334,REP-112,2026-01-23,Sent,FALSE,TX,2026-02-21
HCP0061,CALL-2025-0026,TMPL-714,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-45,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Medical Affairs,,,,PROV-92463,REP-112,2026-03-02,Scheduled,TRUE,NY,2026-02-14
HCP0094,CALL-2025-0024,TMPL-750,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-176,Not Required,RULE-9,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,2026-01-20,,,PROV-56182,REP-119,2026-01-23,Pending,TRUE,NY,2026-02-09
