hcp_id,trx_7d,trx_28d,trx_90d,nrx_7d,nrx_28d,nrx_90d,nbrx_28d,trx_28d_wow_pct,trx_90d_qoq_pct,nbrx_28d_rate,adoption_stage_ordinal,gap_to_goal_28d,potential_uplift_index,churn_risk_score,receptivity_score
HCP0037,10,66,286,7,28,29,1,0.1068,-0.2299,0.0248,4,-15,1.6818,0.446,9.25
HCP0038,20,48,64,8,23,27,7,0.2614,-0.1332,0.0225,4,150,1.6989,0.6771,95.76
HCP0039,12,75,299,5,36,39,1,-0.0834,-0.2112,0.8538,2,120,0.7722,0.0122,34.49
HCP0040,17,67,128,7,11,26,11,0.1822,-0.1268,0.8057,3,56,1.4572,0.4142,83.55
HCP0041,4,21,203,7,24,41,10,0.2599,0.0544,0.3758,0,-34,0.8189,0.9144,41.45
HCP0042,18,69,192,2,11,32,6,0.0323,-0.2747,0.8262,4,24,0.6078,0.5593,46.35
HCP0043,2,10,56,10,14,31,13,-0.0165,0.0923,0.8927,3,112,0.3587,0.9068,64.48
HCP0044,8,17,57,9,9,46,5,-0.0117,-0.0384,0.2579,5,98,0.9521,0.6942,11.96
HCP0045,0,83,181,9,15,48,1,-0.1082,0.227,0.1355,1,-13,0.1058,0.3612,63.62
HCP0046,1,55,294,8,23,52,2,-0.1837,0.0768,0.7647,4,81,1.5053,0.5437,87.24
HCP0047,9,97,261,1,28,49,11,-0.2923,0.0109,0.373,3,-14,0.824,0.9209,16.3
HCP0048,16,29,105,8,17,43,3,-0.0237,-0.2542,0.8188,0,56,0.959,0.3116,36.26
HCP0049,19,66,259,4,16,58,0,0.1887,-0.1666,0.8568,1,140,1.3761,0.3074,20.98
HCP0050,3,37,70,3,5,19,3,-0.1822,-0.2803,0.6598,4,-40,0.1185,0.1189,25.3
HCP0051,0,29,66,1,11,63,9,0.0526,-0.18,0.6706,0,2,0.1816,0.8459,94.18
HCP0052,11,84,292,8,15,60,7,0.0421,-0.2405,0.5781,0,79,1.0577,0.7158,96.43
HCP0053,0,78,93,8,11,27,11,-0.0801,0.0536,0.4397,0,71,0.3617,0.3548,37.96
HCP0054,7,75,104,5,12,67,1,-0.2338,-0.2185,0.7623,5,69,0.5765,0.7221,8.22
HCP0055,12,24,176,9,34,51,9,0.2857,-0.0336,0.5539,2,125,1.9699,0.428,85.68
HCP0056,11,70,279,5,5,37,3,-0.2369,-0.0372,0.6585,0,122,0.2384,0.3948,69.5
HCP0057,5,23,300,3,16,23,10,0.057,0.2944,0.1228,3,1,1.4504,0.2785,71.35
HCP0058,8,85,198,7,27,66,12,0.0068,-0.2116,0.4546,0,74,0.5014,0.4973,62.84
HCP0059,1,13,84,7,7,21,0,-0.0704,0.1075,0.1527,4,-5,1.2465,0.7602,66.11
HCP0060,14,73,183,10,23,40,15,0.0029,0.0255,0.8095,4,75,1.0932,0.9526,3.16
HCP0061,12,25,160,6,25,72,14,-0.2784,-0.1939,0.6594,2,67,1.7694,0.1641,43.07
HCP0062,15,59,129,10,23,29,15,0.0323,0.0236,0.4698,4,118,1.7087,0.5067,39.14
HCP0063,12,85,176,5,23,60,1,0.0543,-0.2231,0.3664,5,-43,1.1679,0.7652,62.52
HCP0064,13,22,147,6,27,59,11,0.0967,-0.1514,0.6481,4,-36,0.1699,0.688,86.89
HCP0065,5,53,79,5,13,17,0,0.0947,-0.0465,0.5148,3,67,0.5332,0.696,58.8
HCP0066,18,58,131,9,25,64,3,-0.24,0.1051,0.336,4,75,1.6229,0.6674,16.66
HCP0067,13,56,126,10,36,40,2,-0.1716,-0.1409,0.2973,4,87,0.8041,0.2259,74.29
HCP0068,18,22,73,1,22,36,15,-0.1742,0.1774,0.6515,2,59,1.0093,0.2999,66.35
HCP0069,13,35,130,9,21,66,14,0.1581,-0.1916,0.0186,5,121,1.0324,0.1865,49.92
HCP0070,8,69,219,8,8,70,3,-0.0225,-0.1558,0.7464,2,43,1.6882,0.4103,86.02
HCP0071,6,18,283,4,22,67,5,0.1121,-0.1583,0.2385,1,15,0.3838,0.2456,82.72
HCP0072,17,72,168,10,32,70,1,-0.2044,-0.2181,0.2584,2,1,1.3173,0.176,85.25
HCP0073,0,72,296,5,7,22,4,0.2403,-0.0558,0.3634,5,-34,1.7714,0.3969,83.98
HCP0074,7,27,265,8,23,29,3,0.0985,0.0483,0.7751,4,83,0.5036,0.8846,23.81
HCP0075,10,50,81,6,20,64,6,-0.2359,-0.1715,0.2745,3,-14,0.5086,0.5895,49.04
HCP0076,3,99,145,6,39,55,15,-0.1522,-0.1334,0.7843,1,124,0.726,0.7157,82.14
HCP0077,19,51,55,10,16,17,1,0.2505,0.103,0.253,3,126,0.6185,0.9585,36.29
HCP0078,3,97,257,6,33,45,0,0.2565,0.2508,0.3009,1,50,0.5948,0.8594,16.02
HCP0079,10,90,162,4,7,67,1,0.2643,-0.0173,0.413,2,149,1.4348,0.8768,82.02
HCP0080,8,30,261,5,9,79,6,0.1375,0.0286,0.3268,5,104,0.0547,0.0521,64.16
HCP0081,20,66,211,3,5,32,1,-0.1167,0.0455,0.1108,1,110,1.0327,0.9697,83.06
HCP0082,19,26,245,7,25,67,15,-0.2199,-0.1959,0.593,2,138,1.5991,0.1987,41.45
HCP0083,12,60,96,0,6,43,4,0.0672,-0.1628,0.089,3,115,0.3965,0.7013,16.88
HCP0084,13,89,152,1,14,48,5,0.2683,-0.2296,0.7186,3,-7,1.5467,0.9283,82.73
HCP0085,7,25,176,4,17,41,9,-0.0035,-0.2219,0.8563,4,141,0.4311,0.8241,72.67
HCP0086,5,63,98,0,14,67,4,-0.1587,-0.0294,0.2483,4,17,1.3685,0.4582,1.03
HCP0087,12,51,84,6,29,42,8,-0.2428,-0.2647,0.3329,1,-32,0.9419,0.3543,60.64
HCP0088,1,86,221,8,9,15,9,-0.1185,-0.0632,0.3709,4,47,0.0822,0.1794,16.99
HCP0089,14,53,176,5,7,31,6,-0.1438,-0.112,0.9785,3,-14,1.7434,0.8348,74.78
HCP0090,9,65,287,8,21,48,10,0.2356,-0.1107,0.9946,1,61,1.1113,0.9229,63.67
HCP0091,6,16,162,1,6,34,1,-0.0179,-0.2019,0.4671,0,-41,1.9904,0.9272,4.08
HCP0092,17,100,141,7,34,77,3,0.2201,-0.2258,0.0936,2,134,0.3613,0.1683,50.87
HCP0093,18,82,119,4,5,42,4,-0.0501,-0.2539,0.7683,5,-4,0.1886,0.3287,28.43
HCP0094,12,25,224,5,11,62,2,-0.2514,0.1984,0.6595,3,-43,1.2567,0.2693,65.8
HCP0095,14,15,134,3,13,56,13,0.1809,-0.1302,0.7981,5,-38,0.1414,0.9519,38.14
HCP0096,5,42,152,1,30,45,0,-0.2022,0.1677,0.2849,5,3,0.3083,0.2985,80.11
HCP0097,19,49,238,10,16,31,3,0.0076,-0.0062,0.8854,3,44,0.537,0.6003,9.02
HCP0098,19,57,158,10,32,38,13,-0.2757,-0.095,0.4635,1,-27,1.2952,0.7136,93.07
HCP0099,20,90,184,7,14,25,6,0.2443,-0.0134,0.1486,1,-30,1.3686,0.3004,24.87
HCP0100,18,47,159,0,7,21,1,-0.0451,-0.2433,0.6609,4,80,1.6256,0.3555,58.56
HCP0101,0,74,246,10,28,29,14,0.1717,0.2057,0.0453,3,-5,1.7535,0.2976,58.72
HCP0102,14,95,166,2,26,48,6,-0.2531,0.2893,0.2593,5,-3,0.2127,0.5344,0.58
HCP0103,2,11,79,6,34,76,15,0.0711,0.2844,0.3607,5,27,1.9263,0.6751,80.46
HCP0104,4,18,72,1,8,15,0,0.2823,0.2154,0.2092,5,128,0.2903,0.2418,84.21
HCP0105,6,78,269,7,14,26,2,-0.0469,-0.2301,0.9024,5,71,1.4052,0.9639,47.15
HCP0106,18,67,270,4,17,46,12,-0.0997,-0.2384,0.8476,3,-37,1.959,0.8486,73.71
HCP0107,9,80,202,6,12,19,7,0.0546,0.0669,0.6787,3,81,0.4638,0.0607,1.9
HCP0108,17,50,197,10,13,23,6,-0.2298,0.0736,0.6462,3,71,1.395,0.0208,28.8
HCP0109,11,70,99,8,19,71,7,0.2454,-0.0965,0.6021,5,100,1.3139,0.1312,29.34
HCP0110,13,59,232,2,35,61,6,0.1144,-0.2483,0.4829,1,22,0.399,0.6057,10.09
HCP0111,9,73,156,8,18,45,1,-0.0847,-0.1435,0.6769,1,-46,1.6559,0.8945,3.2
HCP0112,13,31,66,1,12,22,8,-0.0082,0.2962,0.7849,0,7,1.5402,0.557,89.63
HCP0113,16,98,268,0,27,28,14,0.2776,0.1535,0.9747,4,67,1.2193,0.8584,10.19
HCP0114,3,15,193,3,12,36,5,0.137,0.1249,0.762,3,-10,1.4651,0.0993,64.71
HCP0115,3,27,135,6,33,40,0,0.2009,-0.0158,0.2868,1,12,0.1705,0.3724,75.48
HCP0116,7,90,142,8,29,34,13,-0.2172,-0.0427,0.918,3,8,1.9037,0.5162,68.22
HCP0117,7,13,291,0,29,33,2,-0.097,-0.059,0.7724,3,-29,0.1229,0.7592,66.02
HCP0118,18,29,214,4,21,22,13,0.2315,0.1205,0.8735,5,52,1.4854,0.9092,0.79
HCP0119,19,77,121,6,27,33,14,-0.1769,0.0267,0.7883,5,114,0.8843,0.3453,81.18
HCP0120,6,61,216,0,10,53,8,-0.066,0.1313,0.8799,4,35,1.9838,0.2839,9.28
HCP0121,16,49,191,0,15,58,0,0.0555,-0.1552,0.7742,5,88,0.8455,0.5053,73.2
HCP0122,8,57,265,1,27,79,1,0.0906,-0.2252,0.298,5,143,0.0104,0.339,23.61
HCP0123,18,84,240,4,27,44,9,0.1709,0.1289,0.6724,5,120,0.7553,0.7375,10.52
HCP0124,6,84,182,1,34,61,4,-0.0446,-0.0528,0.0922,3,132,1.777,0.4763,44.62
HCP0125,16,96,144,8,40,66,12,0.0506,0.0819,0.9965,5,17,1.8621,0.4895,97.33
HCP0126,4,30,260,7,13,79,11,-0.2224,0.1227,0.8633,0,67,1.3889,0.4554,3.26
HCP0127,11,81,90,6,24,30,3,-0.0782,-0.1262,0.5228,0,-20,0.7429,0.991,30.33
HCP0128,12,13,174,9,9,33,6,0.2621,-0.1169,0.2835,1,-38,1.6383,0.4888,12.23
HCP0129,1,18,139,9,35,68,9,-0.0286,-0.0973,0.3773,5,94,1.6674,0.1328,13.85
HCP0130,14,68,212,5,14,72,1,0.0987,-0.0542,0.2328,3,109,0.678,0.0458,67.04
HCP0131,20,45,163,0,10,26,9,0.1777,0.1244,0.561,0,111,1.2878,0.0852,95.52
HCP0132,1,83,188,8,35,39,0,0.095,0.0191,0.9624,2,-20,1.5735,0.2453,70.56
HCP0133,14,84,277,9,22,25,10,0.0533,-0.0051,0.9338,2,52,0.874,0.4149,85.96
HCP0134,8,58,131,1,8,26,8,-0.1288,-0.1904,0.7683,1,-7,0.6136,0.4073,16.92
HCP0135,5,51,207,0,16,18,9,-0.2408,-0.2145,0.893,2,49,0.751,0.8277,12.1
HCP0136,19,40,101,8,36,45,12,-0.1384,-0.109,0.5531,0,-21,0.9683,0.4075,23.37
HCP0137,4,12,276,8,12,27,10,-0.1172,-0.056,0.0839,5,-18,1.0009,0.7829,14.24
HCP0138,7,31,188,7,40,69,1,0.1876,0.2767,0.6207,5,-50,1.9442,0.0005,93.35
HCP0139,19,44,173,5,29,47,6,0.2044,-0.1312,0.1614,4,99,1.1262,0.3006,39.53
HCP0140,17,27,81,3,32,50,10,0.2672,0.0811,0.9796,5,124,0.9054,0.2459,98.3
HCP0141,14,36,137,5,6,57,1,0.2534,0.0653,0.0043,0,115,1.3454,0.4132,89.53
HCP0142,12,72,230,10,25,25,2,-0.2814,0.1993,0.6716,5,87,0.2468,0.972,37.64
HCP0143,12,55,203,0,5,37,3,0.2617,-0.0333,0.2215,0,44,1.5168,0.6806,70.92
HCP0144,19,21,99,3,19,53,15,-0.2779,-0.0043,0.704,4,42,0.4182,0.1961,82.11
HCP0145,8,24,151,2,36,79,6,0.1433,0.1033,0.603,1,118,0.1307,0.1282,6.5
HCP0146,7,82,116,10,17,50,0,0.1066,0.0687,0.6807,3,127,0.0039,0.4271,67.31
HCP0147,10,16,216,4,31,70,3,0.011,-0.0027,0.5173,0,124,1.7676,0.2245,27.79
HCP0148,14,78,157,3,5,55,1,-0.2509,0.0431,0.0254,5,35,0.4513,0.6895,95.78
HCP0149,6,41,284,4,26,36,2,0.0752,-0.2833,0.4319,0,110,1.1851,0.6263,33.43
HCP0150,3,41,114,5,20,75,1,0.0118,-0.158,0.0729,4,35,1.2391,0.7641,62.53
HCP0151,2,25,198,3,6,22,2,-0.261,-0.2235,0.9191,3,127,0.1096,0.6107,43.18
HCP0152,17,17,76,6,9,18,6,0.0704,-0.0533,0.8646,5,-26,1.248,0.4534,46.42
HCP0153,19,89,159,10,15,27,0,0.0103,0.0527,0.108,0,66,1.1904,0.0675,78.94
HCP0154,4,83,99,5,21,80,13,0.1348,-0.0332,0.2432,0,73,0.121,0.3117,43.58
HCP0155,11,93,295,2,39,54,4,-0.1148,-0.0943,0.3688,0,70,1.0354,0.6577,14.46
HCP0156,17,74,110,5,18,21,6,0.0843,-0.1792,0.0684,1,1,1.3357,0.6948,98.19
HCP0157,10,98,203,6,24,57,10,-0.2371,0.2257,0.9105,3,-9,0.4388,0.0037,22.3
HCP0158,19,69,108,7,20,42,10,-0.0745,-0.0598,0.8261,0,139,0.7256,0.0737,3.0
HCP0159,9,28,79,10,17,71,11,0.2852,-0.1805,0.2841,1,-39,1.7708,0.7188,33.98
HCP0160,5,41,191,1,6,40,6,0.2464,-0.2874,0.6775,3,17,1.3097,0.885,33.84
HCP0161,14,49,103,5,28,45,5,0.2863,0.2986,0.8817,5,84,0.1308,0.1444,92.42
HCP0162,6,34,253,5,28,63,13,-0.1533,-0.2723,0.616,1,112,1.7089,0.2942,14.86
HCP0163,8,16,113,9,21,31,15,0.1364,0.1708,0.791,4,3,0.1297,0.5086,75.13
HCP0164,11,75,215,7,38,78,5,0.1275,0.0153,0.4833,3,32,0.9475,0.5812,63.81
HCP0165,20,84,252,3,8,19,3,0.2179,-0.0625,0.306,3,65,1.1427,0.9355,37.41
HCP0166,4,20,190,7,14,25,8,-0.1619,-0.2753,0.5123,2,40,0.8522,0.4676,40.9
HCP0167,10,73,255,0,29,49,5,-0.1597,0.0872,0.3591,0,63,0.589,0.5018,54.67
HCP0168,8,60,70,1,8,29,1,-0.277,-0.1798,0.1966,2,42,0.5,0.7452,76.85
HCP0169,6,45,266,8,32,32,8,0.162,-0.1309,0.3466,3,-48,1.8916,0.8219,75.78
HCP0170,20,40,53,6,14,47,3,0.134,-0.1741,0.2337,4,8,1.5719,0.7576,72.25
HCP0171,2,53,168,6,17,55,13,-0.0368,0.2118,0.0301,1,3,1.155,0.1283,94.34
HCP0172,11,41,52,6,19,36,13,0.1516,0.1577,0.6905,2,125,0.6522,0.0232,78.54
HCP0173,4,27,286,6,30,57,6,-0.2618,-0.0681,0.4748,2,50,1.139,0.4515,89.47
HCP0174,3,31,73,2,40,58,1,0.062,-0.2839,0.199,3,126,0.5676,0.233,65.96
HCP0175,1,39,67,0,38,38,5,0.2158,-0.0535,0.157,0,33,0.2583,0.4184,74.31
HCP0176,4,36,149,6,24,41,15,0.0622,0.2635,0.5875,4,-10,1.4335,0.459,20.17
HCP0177,2,67,86,8,20,66,10,0.2275,-0.0239,0.5761,5,95,0.1822,0.6463,91.89
HCP0178,9,99,138,6,16,65,7,0.24,0.1399,0.4578,5,-5,0.3669,0.5686,39.36
HCP0179,7,15,292,10,13,35,8,0.1,-0.26,0.7265,1,24,1.8175,0.4113,76.19
HCP0180,2,57,81,5,21,28,13,-0.2011,-0.1756,0.0446,0,65,0.1464,0.6945,74.97
HCP0181,12,53,147,0,30,39,0,-0.2312,0.2503,0.3271,5,14,0.9285,0.4614,8.25
HCP0182,14,41,218,4,20,32,5,0.2031,0.0642,0.1772,0,-7,1.0693,0.3908,7.76
HCP0183,10,11,245,7,14,49,5,-0.17,-0.2793,0.675,1,-5,0.8841,0.0478,63.48
HCP0184,3,92,183,7,24,64,1,-0.2972,0.1634,0.7671,1,103,0.7493,0.2385,9.14
HCP0185,0,13,157,10,17,58,2,0.2752,-0.242,0.8354,5,6,0.3358,0.167,41.57
HCP0186,10,51,77,9,17,50,6,-0.063,-0.0433,0.2324,0,88,0.7132,0.1736,40.21
HCP0187,6,11,130,3,34,42,2,0.1891,0.09,0.369,0,118,1.7709,0.4111,76.75
HCP0188,17,23,177,1,21,36,10,0.1178,0.1067,0.9724,5,111,0.2659,0.1753,76.17
HCP0189,15,50,226,0,15,23,14,0.0066,0.1451,0.5034,5,47,1.9768,0.2326,61.63
HCP0190,9,25,279,3,32,45,2,-0.2175,-0.0008,0.202,3,-35,0.4088,0.0379,92.34
HCP0191,10,66,203,5,13,32,10,-0.2762,0.1751,0.4149,2,144,1.5011,0.229,73.29
HCP0192,6,41,137,10,12,21,11,-0.1665,0.2236,0.5215,1,134,0.8847,0.006,86.99
HCP0193,1,22,67,3,14,55,2,-0.1958,0.0293,0.7952,1,-27,0.4726,0.0782,72.5
HCP0194,6,31,129,2,32,46,7,-0.1288,-0.031,0.6356,2,27,1.7249,0.4812,95.1
HCP0195,12,60,142,7,35,36,13,0.0656,-0.0399,0.1559,3,79,0.0396,0.3814,85.4
HCP0196,19,48,244,2,22,34,8,-0.0218,-0.0278,0.3751,4,47,0.9617,0.3332,71.49
HCP0197,6,29,100,4,5,15,5,-0.0754,-0.0573,0.4158,3,135,1.941,0.3731,48.96
HCP0198,2,85,214,1,7,67,6,-0.2026,0.1578,0.9571,5,94,0.6972,0.7091,63.5
HCP0199,1,99,144,3,32,64,7,-0.2793,0.1879,0.631,5,72,0.0565,0.6657,14.79
HCP0200,4,68,204,9,20,47,5,-0.23,-0.2446,0.7116,3,-47,0.7953,0.5862,90.1
