hcp_id,territory_id,call_id,call_datetime_local,call_duration_minutes,transcript_text,structured_call_summary,key_topics_tags,objection_categories,compliance_redaction_flag
HCP0011,GB-LON-01,CALL03010,11-05-2025 05:32,6,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and Side Effects. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"monitoring,tolerability,coverage,restriction,adverse_events,tier_change",Prefers competitor,0
HCP0012,GB-LON-01,CALL03011,12-02-2025 23:34,9,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"dosing,tolerability,monitoring,titration,adverse_events,frequency",Efficacy concerns,0
HCP0013,GB-LON-01,CALL03012,12-09-2025 05:49,16,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed adherence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Adherence and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,followup,pill_burden,mode_of_action,pharmacology,support_program",Prior authorization burden,0
HCP0014,GB-LON-01,CALL03013,12-09-2025 16:39,15,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed real-world evidence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Real-world Evidence and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,washout,outcomes,rwe,efficacy_vs_competitor,brand_switch",Prior authorization burden,0
HCP0015,GB-LON-01,CALL03014,11-25-2025 11:22,4,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed payer coverage and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Payer Coverage and Adherence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"formularies,followup,prior_auth,pill_burden,copay,support_program",Efficacy concerns,0
HCP0016,GB-LON-01,CALL03015,11-04-2025 07:05,5,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed adherence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Adherence and Patient Selection. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,followup,pill_burden,eligibility,support_program,age_group",Prior authorization burden,0
HCP0017,GB-LON-01,CALL03016,11-24-2025 12:48,16,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed patient selection and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Patient Selection and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,comorbidities,outcomes,rwe,eligibility,age_group",Prefers competitor,0
HCP0018,GB-LON-01,CALL03017,11-14-2025 10:54,21,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed moa review and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed MOA Review and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,dosing,mode_of_action,pharmacology,titration,frequency",Prior authorization burden,0
HCP0019,GB-LON-01,CALL03018,11-15-2025 03:34,11,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,washout,rwe,outcomes,brand_switch,efficacy_vs_competitor",None,0
HCP0020,GB-LON-01,CALL03019,12-02-2025 04:30,7,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,pharmacology,mode_of_action,coverage,restriction,tier_change",Prior authorization burden,0
HCP0021,DE-BER-01,CALL03020,12-06-2025 04:34,18,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Side Effects. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"monitoring,washout,tolerability,brand_switch,efficacy_vs_competitor,adverse_events",Side-effect risk,0
HCP0022,DE-BER-01,CALL03021,11-04-2025 08:55,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed payer coverage and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Payer Coverage and Patient Selection. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,formularies,prior_auth,copay,eligibility,age_group",None,0
HCP0023,DE-BER-01,CALL03022,11-06-2025 18:52,16,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,dosing,mode_of_action,pharmacology,titration,frequency",None,0
HCP0024,DE-BER-01,CALL03023,12-08-2025 12:22,21,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed moa review and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed MOA Review and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,mode_of_action,coverage,pharmacology,tier_change,restriction",Side-effect risk,0
HCP0025,DE-BER-01,CALL03024,12-06-2025 10:32,15,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and Payer Coverage. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"formularies,prior_auth,copay,coverage,restriction,tier_change",None,0
HCP0026,DE-BER-01,CALL03025,12-02-2025 02:38,12,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed moa review and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed MOA Review and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,mode_of_action,coverage,pharmacology,tier_change,restriction",Prefers competitor,0
HCP0027,DE-BER-01,CALL03026,12-08-2025 21:24,16,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"washout,dosing,brand_switch,titration,efficacy_vs_competitor,frequency",Efficacy concerns,0
HCP0028,DE-BER-01,CALL03027,12-04-2025 16:53,8,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed real-world evidence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Real-world Evidence and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,washout,outcomes,rwe,efficacy_vs_competitor,brand_switch",None,0
HCP0029,DE-BER-01,CALL03028,11-10-2025 22:31,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,pharmacology,mode_of_action,coverage,restriction,tier_change",Cost concerns,0
HCP0030,DE-BER-01,CALL03029,12-04-2025 21:59,8,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,pharmacology,tolerability,mode_of_action,monitoring,adverse_events",None,0
HCP0031,AU-NSW-01,CALL03030,11-24-2025 21:37,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed real-world evidence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Real-world Evidence and Patient Selection. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,comorbidities,outcomes,rwe,eligibility,age_group",Efficacy concerns,0
HCP0032,AU-NSW-01,CALL03031,11-19-2025 00:01,9,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"washout,coverage,brand_switch,efficacy_vs_competitor,tier_change,restriction",None,0
HCP0033,AU-NSW-01,CALL03032,10-31-2025 08:09,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,rwe,outcomes,tolerability,monitoring,adverse_events",Side-effect risk,0
HCP0034,AU-NSW-01,CALL03033,12-02-2025 06:38,9,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and Patient Selection. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,age_group,dosing,titration,eligibility,frequency",Cost concerns,0
HCP0035,AU-NSW-01,CALL03034,11-23-2025 15:07,12,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed adherence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Adherence and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"washout,followup,pill_burden,brand_switch,efficacy_vs_competitor,support_program",None,0
HCP0036,AU-NSW-01,CALL03035,11-01-2025 07:40,12,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed moa review and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed MOA Review and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,dosing,mode_of_action,pharmacology,titration,frequency",Cost concerns,0
HCP0037,AU-NSW-01,CALL03036,11-23-2025 03:38,13,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed real-world evidence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Real-world Evidence and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,dosing,outcomes,rwe,titration,frequency",Prefers competitor,0
HCP0038,AU-NSW-01,CALL03037,11-23-2025 14:11,20,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed patient selection and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Patient Selection and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,dosing,frequency,titration,eligibility,age_group",Cost concerns,0
HCP0039,AU-NSW-01,CALL03038,10-30-2025 01:09,3,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed payer coverage and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Payer Coverage and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,formularies,prior_auth,mode_of_action,copay,pharmacology",Prefers competitor,0
HCP0040,AU-NSW-01,CALL03039,10-26-2025 21:12,19,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Dosing. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"titration,washout,dosing,brand_switch,efficacy_vs_competitor,frequency",Side-effect risk,0
HCP0041,BR-SP-01,CALL03040,11-06-2025 16:21,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed patient selection and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Patient Selection and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,washout,brand_switch,efficacy_vs_competitor,eligibility,age_group",Cost concerns,0
HCP0042,BR-SP-01,CALL03041,11-16-2025 04:32,4,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Side Effects. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"monitoring,washout,tolerability,brand_switch,efficacy_vs_competitor,adverse_events",Cost concerns,0
HCP0043,BR-SP-01,CALL03042,11-03-2025 12:04,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and Payer Coverage. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"formularies,prior_auth,copay,coverage,restriction,tier_change",Prior authorization burden,0
HCP0044,BR-SP-01,CALL03043,10-29-2025 10:53,12,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,rwe,outcomes,tolerability,monitoring,adverse_events",Side-effect risk,0
HCP0045,BR-SP-01,CALL03044,11-20-2025 00:02,18,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and Adherence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"followup,dosing,pill_burden,titration,support_program,frequency",Prefers competitor,0
HCP0046,BR-SP-01,CALL03045,11-14-2025 00:29,5,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,dosing,outcomes,rwe,titration,frequency",Cost concerns,0
HCP0047,BR-SP-01,CALL03046,11-18-2025 11:10,13,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed patient selection and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Patient Selection and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"comorbidities,coverage,restriction,eligibility,tier_change,age_group",None,0
HCP0048,BR-SP-01,CALL03047,10-27-2025 10:32,12,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,pharmacology,washout,mode_of_action,brand_switch,efficacy_vs_competitor",Efficacy concerns,0
HCP0049,BR-SP-01,CALL03048,11-04-2025 12:50,3,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed formulary and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Formulary and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,outcomes,rwe,coverage,restriction,tier_change",Efficacy concerns,0
