campaign_id,user_id,hcp_id,campaign_name,channel,start_date,end_date,content_type,budget,target_segment,status
CMP000148,USR000004,HCP000331,Nephrology Advancement 2023,Webinar,1/14/2025,4/7/2025,Webinar,75351,Medium,Completed
CMP000149,USR000019,HCP000028,Endocrine Health Drive 2024,Email,11/10/2023,1/4/2025,Video,45876,Low,Completed
CMP000150,USR000019,HCP000288,Endocrine Health Drive 2025,Email,5/23/2025,9/5/2025,Infographic,52510,Low,Completed
CMP000151,USR000002,HCP000298,Diabetes Management Q1,Social Media,8/2/2023,1/18/2024,Whitepaper,41212,Low,Completed
CMP000152,USR000006,HCP000417,Cardio Awareness Campaign Q2,Email,8/14/2025,12/5/2025,Infographic,78392,Medium,Active
CMP000153,USR000018,HCP000116,Psychiatric Wellness Initiative Q3,Webinar,1/7/2024,7/13/2024,Whitepaper,91573,High,Active
CMP000154,USR000007,HCP000017,Skin Care Innovation Q4,Webinar,3/20/2023,6/21/2025,Newsletter,66571,Medium,Active
CMP000155,USR000001,HCP000285,Diabetes Management 2023,Email,12/17/2023,4/25/2025,Webinar,40437,Low,Active
CMP000156,USR000005,HCP000071,Skin Care Innovation 2024,Event,12/28/2023,2/6/2024,Webinar,97090,Low,Completed
CMP000157,USR000008,HCP000228,Cancer Care Excellence 2025,Webinar,6/5/2023,3/8/2025,Newsletter,82997,High,Active
CMP000158,USR000001,HCP000379,Urology Innovation Q1,Email,5/28/2024,12/6/2025,Webinar,71420,High,Active
CMP000159,USR000020,HCP000489,Respiratory Health Focus Q2,Email,1/3/2025,2/11/2025,Whitepaper,67922,Medium,Active
CMP000160,USR000016,HCP000024,Neurology Breakthrough Series Q3,Email,11/24/2025,11/30/2025,Whitepaper,56864,Low,Active
CMP000161,USR000005,HCP000159,General Practice Outreach Q4,Event,1/9/2023,5/12/2025,Newsletter,88756,Medium,Completed
CMP000162,USR000018,HCP000225,Diabetes Management 2023,Email,9/3/2023,5/27/2025,Webinar,48050,Low,Completed
CMP000163,USR000011,HCP000107,General Practice Outreach 2024,Social Media,10/11/2025,11/26/2025,Video,99116,High,Completed
CMP000164,USR000012,HCP000035,Diabetes Management 2025,Email,1/11/2025,9/20/2025,Video,68402,Medium,Completed
CMP000165,USR000020,HCP000114,Nephrology Advancement Q1,Email,11/6/2023,1/25/2025,Whitepaper,61695,Medium,Completed
CMP000166,USR000003,HCP000229,Pediatrics Growth Program Q2,Email,5/13/2024,12/20/2024,Newsletter,52288,Low,Completed
CMP000167,USR000013,HCP000163,Joint Health Campaign Q3,Social Media,9/30/2025,10/5/2025,Whitepaper,55369,Medium,Completed
CMP000168,USR000016,HCP000146,Nephrology Advancement Q4,Social Media,5/19/2023,10/26/2025,Newsletter,56450,Medium,Active
CMP000169,USR000007,HCP000271,Rheumatology Focus 2023,Event,12/27/2023,2/14/2025,Whitepaper,70232,Medium,Active
CMP000170,USR000013,HCP000232,Endocrine Health Drive 2024,Social Media,2/27/2023,11/25/2023,Newsletter,51391,Medium,Active
CMP000171,USR000012,HCP000185,Pulmonary Care Campaign 2025,Webinar,10/11/2024,2/24/2025,Video,57129,Low,Active
CMP000172,USR000004,HCP000127,Dermatology Excellence Q1,Email,2/26/2023,11/3/2024,Infographic,54481,Low,Completed
CMP000173,USR000003,HCP000401,Pulmonary Care Campaign Q2,Email,2/8/2025,4/21/2025,Webinar,73367,High,Completed
CMP000174,USR000004,HCP000244,Oncology Insights Initiative Q3,Webinar,3/25/2024,4/23/2024,Newsletter,63747,Medium,Completed
CMP000175,USR000003,HCP000031,Dermatology Excellence Q4,Email,1/15/2023,4/22/2024,Webinar,53015,Low,Completed
CMP000176,USR000016,HCP000241,Heart Health Awareness 2023,Webinar,6/1/2025,7/12/2025,Webinar,74975,High,Completed
CMP000177,USR000003,HCP000284,Pulmonary Care Campaign 2024,Email,6/4/2024,1/11/2025,Webinar,73029,Medium,Completed
CMP000178,USR000020,HCP000163,Rheumatology Focus 2025,Webinar,12/6/2024,12/24/2025,Whitepaper,63844,Medium,Completed
CMP000179,USR000012,HCP000193,Psychiatric Wellness Initiative Q1,Email,7/28/2023,9/18/2025,Webinar,48524,Low,Completed
CMP000180,USR000015,HCP000464,Respiratory Health Focus Q2,Email,12/28/2024,4/12/2025,Whitepaper,93131,High,Completed
CMP000181,USR000007,HCP000001,Nephrology Advancement Q3,Webinar,10/27/2023,4/18/2024,Webinar,76368,Medium,Completed
CMP000182,USR000011,HCP000349,Joint Health Campaign Q4,Email,5/28/2024,10/1/2024,Newsletter,56572,Medium,Completed
CMP000183,USR000020,HCP000375,Mental Health Awareness 2023,Email,12/13/2024,8/21/2025,Infographic,71909,High,Active
CMP000184,USR000015,HCP000168,Respiratory Health Focus 2024,Email,2/4/2024,8/15/2025,Webinar,88074,High,Active
CMP000185,USR000015,HCP000390,Cardio Awareness Campaign 2025,Email,10/17/2023,11/7/2023,Infographic,92124,High,Active
CMP000186,USR000015,HCP000464,Cardio Awareness Campaign Q1,Email,6/7/2024,1/22/2025,Newsletter,59157,Medium,Active
CMP000187,USR000017,HCP000440,Skin Care Innovation Q2,Webinar,6/1/2025,8/15/2025,Whitepaper,49104,Low,Completed
CMP000188,USR000019,HCP000157,Urology Innovation Q3,Event,9/30/2023,6/20/2025,Infographic,91814,High,Completed
CMP000189,USR000006,HCP000131,Oncology Insights Initiative Q4,Event,10/26/2024,11/30/2025,Video,86375,Medium,Completed
CMP000190,USR000011,HCP000250,Dermatology Excellence 2023,Social Media,5/24/2024,7/30/2024,Video,72886,High,Completed
CMP000191,USR000012,HCP000133,Rheumatology Focus 2024,Social Media,9/14/2024,11/27/2024,Infographic,79855,High,Completed
CMP000192,USR000003,HCP000251,Respiratory Health Focus 2025,Webinar,10/15/2023,5/20/2024,Webinar,45789,Low,Completed
CMP000193,USR000010,HCP000077,Nephrology Advancement Q1,Event,1/11/2025,5/16/2025,Whitepaper,70296,High,Completed
CMP000194,USR000008,HCP000032,Brain Health Initiative Q2,Webinar,1/21/2024,1/26/2024,Newsletter,46554,Low,Completed
CMP000195,USR000008,HCP000285,Mental Health Awareness Q3,Social Media,2/10/2024,12/3/2024,Newsletter,92588,High,Completed
CMP000196,USR000009,HCP000194,Pulmonary Care Campaign Q4,Webinar,1/1/2024,12/12/2024,Newsletter,51953,Low,Completed
CMP000197,USR000018,HCP000212,Oncology Insights Initiative 2023,Webinar,2/19/2024,11/1/2024,Webinar,73800,Medium,Completed
CMP000198,USR000020,HCP000304,Diabetes Management 2024,Webinar,4/14/2024,7/10/2025,Newsletter,74087,High,Completed
CMP000199,USR000004,HCP000241,Mental Health Awareness 2025,Email,6/8/2025,6/12/2025,Webinar,54925,Low,Completed
CMP000200,USR000008,HCP000450,Heart Health Awareness Q1,Email,2/11/2024,7/2/2025,Infographic,52550,Medium,Completed
CMP000201,USR000010,HCP000279,Dermatology Excellence Q2,Webinar,7/12/2024,1/11/2025,Video,91737,High,Active
CMP000202,USR000019,HCP000430,Neurology Breakthrough Series Q3,Email,4/7/2023,10/7/2023,Video,70787,Medium,Active
CMP000203,USR000006,HCP000395,Oncology Insights Initiative Q4,Webinar,12/23/2024,4/21/2025,Newsletter,77238,High,Active
CMP000204,USR000014,HCP000387,Urology Innovation 2023,Webinar,9/6/2023,5/27/2025,Video,78664,High,Active
CMP000205,USR000017,HCP000449,Diabetes Management 2024,Email,12/1/2025,12/25/2025,Video,79958,Medium,Completed
CMP000206,USR000005,HCP000303,Diabetes Management 2025,Webinar,12/28/2025,12/30/2025,Webinar,78733,Medium,Completed
CMP000207,USR000019,HCP000025,Neurology Breakthrough Series Q1,Social Media,4/28/2024,10/16/2025,Infographic,40760,Low,Completed
CMP000208,USR000008,HCP000196,Urology Innovation Q2,Webinar,7/2/2023,10/2/2024,Infographic,55957,Medium,Completed
CMP000209,USR000020,HCP000004,General Practice Outreach Q3,Social Media,7/24/2024,11/13/2025,Infographic,73395,High,Active
CMP000210,USR000007,HCP000049,Brain Health Initiative Q4,Email,12/10/2023,5/28/2024,Newsletter,43514,Low,Active
CMP000211,USR000002,HCP000417,Skin Care Innovation 2023,Social Media,7/27/2023,8/7/2025,Video,43146,Low,Active
CMP000212,USR000015,HCP000266,Oncology Insights Initiative 2024,Webinar,8/26/2023,8/1/2025,Whitepaper,43937,Low,Active
CMP000213,USR000009,HCP000114,Brain Health Initiative 2025,Event,7/29/2025,10/9/2025,Whitepaper,97152,Medium,Active
CMP000214,USR000006,HCP000074,Pediatrics Growth Program Q1,Webinar,10/7/2024,12/7/2025,Infographic,78768,Medium,Active
CMP000215,USR000006,HCP000410,Skin Care Innovation Q2,Webinar,1/1/2025,10/22/2025,Newsletter,57933,Medium,Active
CMP000216,USR000001,HCP000308,Nephrology Advancement Q3,Email,4/15/2025,12/28/2025,Webinar,58044,Low,Active
CMP000217,USR000011,HCP000324,Nephrology Advancement Q4,Webinar,12/6/2023,7/19/2025,Infographic,78231,Medium,Completed
CMP000218,USR000018,HCP000014,Rheumatology Focus 2023,Event,1/20/2024,7/1/2025,Whitepaper,72881,Medium,Active
