content_id,campaign_id,content_type,impressions,clicks,conversions,engagement_rate,conversion_rate
CNT000087,CMP000016,Whitepaper,5908,888,142,0.15,0.16
CNT000088,CMP000312,Podcast,7412,463,34,0.06,0.07
CNT000089,CMP000316,Blog Post,5820,717,285,0.12,0.4
CNT000090,CMP000389,Webinar,4046,476,66,0.12,0.14
CNT000091,CMP000185,Blog Post,3415,990,261,0.29,0.26
CNT000092,CMP000374,Whitepaper,1815,161,15,0.09,0.09
CNT000093,CMP000191,Whitepaper,6039,328,22,0.05,0.07
CNT000094,CMP000303,Newsletter,7324,575,189,0.08,0.33
CNT000095,CMP000377,Newsletter,3823,217,223,0.06,1.03
CNT000096,CMP000150,Blog Post,8433,458,40,0.05,0.09
CNT000097,CMP000021,Blog Post,4664,338,40,0.07,0.12
CNT000098,CMP000234,Webinar,5643,181,141,0.03,0.78
CNT000099,CMP000009,Whitepaper,7147,374,246,0.05,0.66
CNT000100,CMP000023,Whitepaper,2607,865,239,0.33,0.28
