campaign_id,hcp_id,start_date,end_date,reach,engagement_rate,conversion_rate,downloads,impressions,clicks,conversions,roi,month_key,quarter_key,year_key,engaged_interactions,total_interactions,engagement_date,engagement_type,time_spent_minutes
CMP000252,HCP000407,2025-12-05,2025-12-11,0.14,0.1,0.03,72,3306,1588,43,2.2,12,Q4,2025,69,114,2025-12-10,conversion,12.3
CMP000029,HCP000227,2025-10-06,2025-11-04,0.6,0.29,0.15,79,4983,3868,490,2.54,10,Q4,2025,67,102,2025-10-13,conversion,26.7
CMP000284,HCP000480,2024-03-01,2024-05-12,0.11,0.35,0.28,49,5939,3833,369,1.18,3,Q1,2024,21,53,2024-05-03,click,24.9
CMP000053,HCP000296,2024-07-13,2025-01-23,0.75,0.37,0.13,62,9265,8387,882,1.64,7,Q3,2024,22,48,2024-07-29,conversion,3.9
CMP000258,HCP000075,2024-07-31,2025-12-29,0.74,0.28,0.08,58,9070,8434,291,0.62,7,Q3,2024,38,64,2025-12-17,view,22.6
CMP000385,HCP000202,2023-09-15,2023-12-04,0.81,0.16,0.21,83,3102,9202,557,1.26,9,Q3,2023,42,91,2023-10-23,view,23.8
CMP000306,HCP000030,2025-08-29,2025-10-27,0.67,0.38,0.17,76,5823,9447,941,2.74,8,Q3,2025,14,30,2025-09-20,click,29.4
CMP000333,HCP000393,2024-10-28,2025-01-06,0.79,0.19,0.12,28,1690,4123,89,0.17,10,Q4,2024,52,97,2025-01-04,view,17.6
CMP000166,HCP000084,2023-05-28,2023-05-29,0.76,0.06,0.1,59,3377,8119,203,0.68,5,Q2,2023,56,65,2023-05-28,click,17.4
CMP000353,HCP000262,2025-01-10,2025-02-09,0.82,0.13,0.06,95,1553,5216,525,2.14,1,Q1,2025,40,40,2025-01-16,conversion,27.3
CMP000303,HCP000013,2025-07-11,2025-08-23,0.61,0.36,0.19,81,5470,6872,275,0.32,7,Q3,2025,44,74,2025-08-05,view,15.5
CMP000226,HCP000307,2025-11-22,2025-12-13,0.69,0.24,0.29,41,1561,8267,834,1.22,11,Q4,2025,57,58,2025-11-22,view,5.8
CMP000188,HCP000120,2023-01-13,2025-12-28,0.53,0.37,0.17,13,9152,8343,583,1.23,1,Q1,2023,8,54,2024-06-29,conversion,9.5
CMP000173,HCP000309,2023-07-07,2025-04-23,0.44,0.36,0.08,54,4138,7313,615,2.02,7,Q3,2023,93,132,2024-12-27,view,7.3
CMP000023,HCP000062,2023-07-25,2025-08-05,0.73,0.35,0.04,55,2176,6511,916,2.1,7,Q3,2023,28,35,2023-09-18,view,11.5
CMP000292,HCP000381,2023-12-22,2024-10-14,0.59,0.05,0.3,67,9813,5190,154,0.48,12,Q4,2023,28,77,2024-01-25,conversion,8.4
CMP000124,HCP000086,2023-06-09,2023-11-16,0.78,0.38,0.24,20,6834,903,398,2.0,6,Q2,2023,70,91,2023-08-08,view,12.8
CMP000110,HCP000046,2024-07-24,2025-03-13,0.49,0.28,0.12,9,4093,4898,459,0.8,7,Q3,2024,58,63,2024-09-15,conversion,9.6
CMP000202,HCP000065,2024-08-17,2024-11-28,0.72,0.21,0.1,29,9140,5919,911,1.53,8,Q3,2024,7,52,2024-09-13,click,8.4
CMP000046,HCP000394,2023-04-17,2025-07-19,0.51,0.16,0.05,61,9863,1274,120,2.7,4,Q2,2023,3,37,2023-04-30,click,5.4
CMP000332,HCP000264,2025-08-06,2025-12-10,0.49,0.07,0.15,18,2833,6028,463,1.26,8,Q3,2025,89,101,2025-09-06,view,29.5
CMP000097,HCP000213,2024-11-14,2025-08-13,0.46,0.08,0.01,44,2409,1862,919,2.15,11,Q4,2024,41,42,2025-02-04,conversion,9.1
CMP000345,HCP000001,2025-09-02,2025-10-01,0.56,0.28,0.14,51,6257,9590,473,2.42,9,Q3,2025,56,63,2025-09-21,view,20.7
CMP000057,HCP000498,2025-08-15,2025-12-26,0.56,0.4,0.29,44,5809,6445,188,1.64,8,Q3,2025,92,127,2025-11-08,view,24.3
CMP000227,HCP000421,2023-12-04,2024-02-09,0.48,0.3,0.11,19,2381,3227,822,1.34,12,Q4,2023,57,93,2023-12-13,conversion,20.5
CMP000270,HCP000351,2023-08-06,2024-02-13,0.12,0.25,0.04,42,5118,1626,457,0.58,8,Q3,2023,4,44,2023-11-28,view,12.8
CMP000049,HCP000047,2024-08-19,2025-05-19,0.56,0.26,0.2,53,4019,1404,876,0.21,8,Q3,2024,65,72,2025-02-01,conversion,7.6
CMP000338,HCP000238,2024-05-03,2024-08-19,0.3,0.19,0.3,93,3944,5057,833,0.97,5,Q2,2024,3,24,2024-06-20,view,13.7
CMP000116,HCP000084,2024-03-06,2025-07-19,0.51,0.1,0.19,71,6690,1942,253,2.09,3,Q1,2024,54,70,2024-05-10,click,27.4
CMP000295,HCP000203,2024-01-21,2025-03-25,0.34,0.15,0.26,24,7127,5171,604,1.81,1,Q1,2024,11,16,2024-08-29,view,23.0
CMP000176,HCP000013,2025-12-08,2025-12-08,0.84,0.09,0.08,35,2957,6748,858,2.08,12,Q4,2025,76,99,2025-12-08,view,9.1
CMP000368,HCP000283,2023-11-16,2024-12-22,0.58,0.09,0.17,21,4514,3030,427,0.31,11,Q4,2023,58,105,2024-12-15,view,28.2
CMP000152,HCP000385,2023-10-21,2025-06-20,0.86,0.09,0.14,8,1947,8876,824,0.39,10,Q4,2023,46,49,2024-06-06,click,19.8
CMP000020,HCP000208,2025-09-30,2025-10-05,0.84,0.29,0.22,25,6502,7708,887,2.77,9,Q3,2025,71,117,2025-10-04,click,17.4
CMP000302,HCP000232,2024-01-07,2025-01-25,0.42,0.11,0.11,55,8002,8917,88,1.76,1,Q1,2024,45,94,2024-06-04,conversion,28.5
CMP000351,HCP000062,2023-06-25,2024-07-03,0.24,0.24,0.21,15,9973,2374,195,0.74,6,Q2,2023,49,64,2024-01-05,conversion,9.7
CMP000067,HCP000275,2025-09-18,2025-10-01,0.83,0.34,0.2,36,7922,3481,26,0.95,9,Q3,2025,24,40,2025-09-30,view,26.9
CMP000398,HCP000011,2023-01-19,2024-08-01,0.63,0.31,0.14,54,6049,4804,258,2.7,1,Q1,2023,24,46,2023-09-21,click,3.5
CMP000356,HCP000432,2023-07-25,2025-03-16,0.55,0.38,0.16,80,8407,9797,915,2.23,7,Q3,2023,27,41,2024-10-08,click,7.9
CMP000336,HCP000154,2024-10-15,2025-07-25,0.3,0.36,0.17,57,7841,222,898,0.56,10,Q4,2024,3,10,2025-05-15,conversion,26.2
CMP000371,HCP000305,2025-11-26,2025-12-04,0.2,0.22,0.09,22,7405,590,747,0.18,11,Q4,2025,12,23,2025-12-01,conversion,5.6
CMP000091,HCP000088,2023-04-24,2023-05-19,0.19,0.07,0.19,68,9843,516,223,2.16,4,Q2,2023,54,101,2023-04-27,click,2.4
CMP000240,HCP000334,2023-01-22,2024-03-04,0.39,0.28,0.26,87,6867,3294,429,0.96,1,Q1,2023,36,40,2023-07-08,conversion,5.9
CMP000228,HCP000237,2023-03-03,2023-06-04,0.79,0.22,0.08,37,5314,6964,390,1.5,3,Q1,2023,47,73,2023-06-03,conversion,17.5
CMP000013,HCP000447,2024-09-10,2025-10-08,0.58,0.17,0.1,3,1637,5966,659,0.91,9,Q3,2024,58,70,2025-04-20,view,15.1
CMP000194,HCP000103,2025-09-03,2025-12-09,0.3,0.19,0.05,37,6320,8827,470,0.17,9,Q3,2025,83,123,2025-11-16,view,12.1
CMP000364,HCP000206,2024-10-07,2025-09-01,0.74,0.08,0.06,60,4185,3338,270,2.64,10,Q4,2024,6,19,2025-07-06,view,1.5
CMP000140,HCP000062,2024-09-16,2024-11-19,0.53,0.21,0.27,16,2459,4331,498,1.92,9,Q3,2024,84,100,2024-11-17,conversion,15.3
CMP000380,HCP000449,2025-04-13,2025-11-07,0.24,0.31,0.07,93,9673,3490,247,0.57,4,Q2,2025,37,75,2025-06-11,conversion,15.3
CMP000142,HCP000239,2024-03-07,2024-05-10,0.57,0.15,0.13,95,3235,5083,265,0.31,3,Q1,2024,28,69,2024-04-06,view,11.4
CMP000392,HCP000146,2023-05-03,2025-07-05,0.49,0.1,0.03,48,7609,5034,586,0.81,5,Q2,2023,50,53,2024-03-13,conversion,22.8
CMP000164,HCP000223,2023-08-30,2025-12-10,0.77,0.19,0.09,7,6180,1479,842,1.9,8,Q3,2023,37,81,2025-01-18,conversion,7.5
CMP000358,HCP000429,2024-08-29,2025-11-27,0.11,0.36,0.05,10,2314,5372,228,0.24,8,Q3,2024,12,15,2024-10-19,view,4.7
CMP000145,HCP000457,2024-04-26,2025-10-20,0.31,0.39,0.12,57,9808,2518,37,1.36,4,Q2,2024,16,36,2025-03-31,click,3.8
CMP000054,HCP000288,2024-01-06,2024-02-19,0.27,0.1,0.02,54,9123,5073,254,2.85,1,Q1,2024,47,58,2024-01-17,click,8.8
CMP000121,HCP000259,2023-05-14,2025-03-18,0.75,0.32,0.15,92,3267,9788,739,2.18,5,Q2,2023,2,43,2023-08-12,view,8.3
CMP000357,HCP000428,2024-12-05,2025-01-16,0.54,0.22,0.12,59,6333,6771,925,1.22,12,Q4,2024,70,114,2024-12-20,conversion,27.6
CMP000328,HCP000390,2025-10-31,2025-11-17,0.36,0.07,0.19,17,3853,2836,966,1.97,10,Q4,2025,77,108,2025-11-02,conversion,9.5
CMP000007,HCP000406,2023-01-20,2023-08-21,0.67,0.23,0.16,9,7749,1601,435,0.41,1,Q1,2023,23,25,2023-01-24,click,21.7
CMP000229,HCP000327,2023-09-12,2025-10-22,0.82,0.05,0.01,31,7209,2865,110,2.93,9,Q3,2023,63,64,2025-09-21,conversion,2.3
CMP000278,HCP000202,2024-06-22,2025-08-02,0.4,0.07,0.11,58,9566,657,266,1.68,6,Q2,2024,61,101,2025-07-28,click,18.9
CMP000077,HCP000230,2024-02-07,2024-06-15,0.49,0.29,0.04,56,6848,2837,383,1.99,2,Q1,2024,3,50,2024-04-19,click,7.8
CMP000290,HCP000239,2023-07-17,2024-09-06,0.15,0.2,0.26,48,5385,6451,877,2.45,7,Q3,2023,70,119,2023-10-16,conversion,3.7
CMP000361,HCP000349,2023-02-15,2024-07-19,0.13,0.35,0.11,8,4726,2142,860,0.54,2,Q1,2023,20,55,2024-01-14,view,22.8
CMP000038,HCP000345,2024-02-27,2025-04-08,0.6,0.32,0.25,85,5476,4589,59,0.17,2,Q1,2024,32,64,2024-04-16,view,29.0
CMP000061,HCP000041,2024-02-13,2025-08-19,0.65,0.08,0.07,23,6835,793,380,0.88,2,Q1,2024,19,30,2025-05-05,view,18.8
CMP000139,HCP000172,2025-09-01,2025-09-15,0.38,0.24,0.2,25,4604,1543,914,0.46,9,Q3,2025,59,104,2025-09-13,click,29.7
CMP000080,HCP000191,2024-12-08,2025-06-24,0.77,0.25,0.26,53,5987,3725,56,1.83,12,Q4,2024,56,66,2025-04-26,view,26.5
CMP000339,HCP000441,2023-03-28,2025-05-12,0.5,0.19,0.15,16,1102,7553,433,1.75,3,Q1,2023,65,93,2025-01-23,click,10.2
CMP000360,HCP000366,2025-05-30,2025-08-02,0.74,0.07,0.06,36,9246,9222,301,2.0,5,Q2,2025,36,60,2025-07-04,click,11.7
CMP000365,HCP000245,2023-09-02,2024-10-02,0.3,0.16,0.29,57,8280,1193,748,1.19,9,Q3,2023,56,59,2023-11-20,click,11.7
CMP000090,HCP000226,2025-06-10,2025-07-24,0.23,0.28,0.09,13,2977,2513,868,1.48,6,Q2,2025,10,40,2025-06-21,conversion,4.9
CMP000225,HCP000014,2025-03-01,2025-03-01,0.87,0.19,0.11,67,1974,1789,585,2.94,3,Q1,2025,32,42,2025-03-01,view,29.0
CMP000147,HCP000182,2023-01-20,2024-02-03,0.55,0.15,0.18,43,4205,4144,608,2.36,1,Q1,2023,89,134,2023-02-06,conversion,18.5
CMP000143,HCP000346,2025-01-02,2025-05-23,0.44,0.34,0.15,27,1313,9021,977,1.66,1,Q1,2025,21,41,2025-03-17,click,6.9
CMP000013,HCP000329,2023-08-22,2024-05-26,0.57,0.3,0.26,58,6704,8303,607,1.44,8,Q3,2023,76,81,2023-09-04,click,20.7
CMP000117,HCP000259,2025-05-08,2025-10-17,0.2,0.18,0.25,42,5954,844,489,2.98,5,Q2,2025,97,117,2025-06-20,click,2.2
CMP000065,HCP000430,2024-05-14,2024-11-22,0.71,0.32,0.23,15,9819,476,824,0.32,5,Q2,2024,42,76,2024-08-02,view,10.5
CMP000341,HCP000124,2024-05-12,2024-12-08,0.18,0.22,0.13,74,8811,7443,61,1.56,5,Q2,2024,87,91,2024-06-11,click,18.7
CMP000369,HCP000209,2025-06-06,2025-10-28,0.24,0.2,0.11,78,7881,7478,35,0.34,6,Q2,2025,2,29,2025-06-29,view,29.0
CMP000004,HCP000497,2025-02-18,2025-11-06,0.37,0.34,0.09,31,7141,5117,301,1.41,2,Q1,2025,5,14,2025-03-10,view,18.3
CMP000353,HCP000005,2023-10-06,2024-09-16,0.73,0.39,0.12,15,8440,4758,774,1.02,10,Q4,2023,28,49,2024-08-13,click,3.4
CMP000082,HCP000401,2025-03-12,2025-03-29,0.65,0.06,0.1,40,5138,4374,466,1.94,3,Q1,2025,32,62,2025-03-21,click,18.3
CMP000314,HCP000086,2023-04-18,2025-04-09,0.4,0.25,0.03,37,7777,3305,811,2.23,4,Q2,2023,25,37,2025-02-18,conversion,23.8
CMP000378,HCP000376,2024-03-14,2025-11-04,0.52,0.36,0.17,94,3151,3282,437,2.17,3,Q1,2024,69,106,2024-11-10,view,19.2
CMP000374,HCP000049,2024-05-23,2024-07-29,0.88,0.33,0.22,70,9302,8200,873,2.55,5,Q2,2024,32,48,2024-07-15,view,8.0
CMP000368,HCP000107,2024-12-10,2024-12-13,0.64,0.16,0.21,20,1166,3724,309,2.66,12,Q4,2024,23,70,2024-12-11,conversion,11.4
CMP000101,HCP000057,2023-11-08,2025-02-02,0.6,0.37,0.02,62,8636,8120,35,2.21,11,Q4,2023,50,85,2025-01-18,view,27.4
CMP000100,HCP000324,2024-04-17,2025-11-12,0.72,0.37,0.08,55,1109,6649,786,0.64,4,Q2,2024,26,26,2025-08-13,click,19.6
CMP000068,HCP000432,2024-01-12,2025-01-06,0.81,0.32,0.12,86,3026,1955,737,2.27,1,Q1,2024,62,79,2024-06-03,click,14.3
CMP000052,HCP000116,2025-07-08,2025-10-11,0.55,0.09,0.03,22,7306,5172,341,1.59,7,Q3,2025,30,49,2025-09-21,view,17.7
CMP000306,HCP000255,2023-10-31,2024-11-14,0.77,0.18,0.09,12,1990,5390,139,1.2,10,Q4,2023,75,108,2023-12-28,view,5.8
CMP000161,HCP000469,2023-01-10,2024-10-07,0.36,0.18,0.28,61,8972,9729,104,0.55,1,Q1,2023,53,93,2023-01-28,click,7.5
CMP000210,HCP000474,2023-12-28,2025-02-20,0.58,0.23,0.16,52,9003,7791,468,2.05,12,Q4,2023,73,82,2024-09-22,conversion,17.9
CMP000042,HCP000031,2025-09-14,2025-09-15,0.78,0.22,0.06,54,6363,5987,621,1.29,9,Q3,2025,64,85,2025-09-14,view,24.0
CMP000244,HCP000060,2023-01-03,2025-10-20,0.34,0.35,0.16,77,2041,1657,193,1.81,1,Q1,2023,25,56,2024-08-09,conversion,19.7
CMP000267,HCP000269,2024-04-22,2024-07-11,0.55,0.19,0.29,27,9739,3084,408,2.04,4,Q2,2024,6,30,2024-05-11,click,12.6
CMP000150,HCP000031,2025-04-03,2025-07-04,0.81,0.14,0.03,43,9448,9231,66,0.94,4,Q2,2025,79,128,2025-05-13,click,13.9
CMP000205,HCP000024,2025-02-03,2025-02-26,0.53,0.38,0.22,60,6205,4962,686,1.25,2,Q1,2025,84,93,2025-02-06,view,26.3
CMP000120,HCP000156,2024-03-10,2024-05-21,0.85,0.34,0.26,12,2554,5699,596,2.56,3,Q1,2024,2,16,2024-03-14,click,2.7
CMP000017,HCP000354,2023-12-26,2025-11-21,0.61,0.14,0.05,51,7372,8651,14,1.2,12,Q4,2023,78,116,2025-10-12,conversion,26.3
CMP000200,HCP000332,2025-03-18,2025-08-25,0.52,0.34,0.23,7,8366,5307,399,2.47,3,Q1,2025,68,70,2025-08-01,click,10.2
CMP000187,HCP000239,2024-08-01,2025-07-23,0.53,0.18,0.24,11,5444,887,531,1.2,8,Q3,2024,91,140,2025-05-18,view,15.6
CMP000012,HCP000372,2023-05-12,2025-10-30,0.34,0.06,0.06,9,5055,706,34,0.38,5,Q2,2023,29,31,2023-10-07,click,4.1
CMP000270,HCP000250,2025-02-24,2025-04-16,0.81,0.16,0.22,20,8796,2320,13,1.17,2,Q1,2025,20,30,2025-04-03,view,17.4
CMP000167,HCP000300,2023-04-27,2025-11-01,0.8,0.2,0.19,31,2250,4106,47,0.85,4,Q2,2023,70,77,2025-09-25,view,13.7
CMP000013,HCP000055,2023-04-07,2025-02-10,0.13,0.16,0.09,60,2803,7216,447,1.37,4,Q2,2023,6,19,2024-09-02,conversion,27.7
CMP000314,HCP000415,2023-07-23,2024-07-24,0.18,0.27,0.24,10,7121,5889,309,2.92,7,Q3,2023,18,36,2023-11-13,conversion,24.5
CMP000342,HCP000253,2024-02-10,2025-12-01,0.46,0.32,0.17,30,1531,4237,354,1.63,2,Q1,2024,50,90,2024-10-11,view,5.2
CMP000313,HCP000219,2024-09-02,2025-05-13,0.22,0.39,0.28,51,7761,491,705,1.65,9,Q3,2024,22,55,2025-01-03,conversion,26.1
CMP000096,HCP000106,2024-12-04,2025-07-03,0.51,0.37,0.27,88,7058,7755,799,2.99,12,Q4,2024,2,33,2025-03-04,view,28.6
CMP000170,HCP000134,2023-04-27,2024-03-06,0.28,0.1,0.1,41,8224,7902,249,2.13,4,Q2,2023,63,101,2023-06-18,view,7.1
CMP000241,HCP000449,2025-06-27,2025-07-18,0.18,0.21,0.14,55,3014,5044,958,1.2,6,Q2,2025,61,96,2025-06-30,click,19.8
CMP000284,HCP000272,2023-06-14,2024-02-24,0.59,0.18,0.3,57,2440,9690,584,0.69,6,Q2,2023,22,24,2023-12-05,conversion,6.8
CMP000315,HCP000153,2024-12-24,2025-04-24,0.58,0.4,0.07,39,3327,6665,609,1.63,12,Q4,2024,57,100,2025-03-12,conversion,17.4
CMP000124,HCP000080,2023-07-07,2025-10-16,0.25,0.16,0.02,52,8198,1720,566,0.84,7,Q3,2023,67,78,2025-01-13,conversion,14.8
CMP000182,HCP000297,2023-11-19,2024-11-04,0.49,0.31,0.17,83,6176,3493,986,1.15,11,Q4,2023,10,44,2024-03-17,click,12.2
CMP000292,HCP000054,2024-12-20,2025-04-01,0.76,0.08,0.11,91,8256,8792,671,1.53,12,Q4,2024,81,124,2025-01-12,click,8.0
CMP000055,HCP000189,2023-05-21,2024-01-20,0.12,0.19,0.28,66,6767,5930,275,2.09,5,Q2,2023,43,83,2023-09-16,conversion,1.4
CMP000250,HCP000338,2025-12-30,2025-12-30,0.8,0.28,0.08,96,1826,9957,139,2.4,12,Q4,2025,15,26,2025-12-30,conversion,9.7
CMP000014,HCP000081,2023-12-01,2025-09-10,0.7,0.27,0.13,34,7287,1505,464,2.8,12,Q4,2023,43,49,2024-08-11,view,3.0
CMP000125,HCP000383,2023-08-19,2024-01-07,0.51,0.34,0.22,46,3751,7604,747,1.77,8,Q3,2023,76,117,2024-01-04,conversion,23.6
CMP000377,HCP000152,2024-01-21,2024-10-23,0.49,0.28,0.03,14,8704,6215,109,0.53,1,Q1,2024,5,5,2024-06-22,view,18.5
CMP000106,HCP000054,2025-03-08,2025-03-27,0.4,0.25,0.16,46,4996,114,569,2.42,3,Q1,2025,34,69,2025-03-24,view,28.7
CMP000210,HCP000019,2024-04-09,2024-10-28,0.31,0.13,0.1,80,2685,2183,251,0.77,4,Q2,2024,26,56,2024-06-15,click,24.5
CMP000166,HCP000446,2023-02-18,2024-11-07,0.14,0.33,0.16,84,6404,783,742,1.03,2,Q1,2023,55,71,2024-02-04,click,5.9
CMP000253,HCP000269,2025-05-13,2025-12-12,0.26,0.33,0.13,87,6738,2126,973,2.74,5,Q2,2025,89,99,2025-08-18,view,25.4
CMP000268,HCP000013,2023-05-28,2025-05-14,0.74,0.11,0.24,43,6710,1867,622,2.92,5,Q2,2023,63,107,2023-08-15,conversion,15.4
CMP000232,HCP000440,2023-08-06,2024-02-10,0.24,0.23,0.24,48,9657,9392,699,2.07,8,Q3,2023,50,68,2023-08-08,view,6.5
CMP000107,HCP000451,2023-04-06,2024-03-16,0.17,0.39,0.29,83,7761,3611,189,2.89,4,Q2,2023,3,25,2023-05-26,click,2.7
CMP000107,HCP000146,2023-11-04,2025-07-18,0.5,0.26,0.12,9,3210,7330,621,0.22,11,Q4,2023,61,84,2024-08-19,view,3.3
CMP000030,HCP000157,2025-12-02,2025-12-06,0.32,0.15,0.03,18,6032,6361,379,1.8,12,Q4,2025,65,81,2025-12-05,view,26.5
CMP000156,HCP000240,2025-06-29,2025-08-18,0.86,0.3,0.03,59,7771,6848,750,1.6,6,Q2,2025,49,67,2025-07-06,click,16.2
CMP000172,HCP000416,2023-02-03,2023-05-14,0.67,0.19,0.04,12,2751,2757,913,1.34,2,Q1,2023,48,55,2023-03-13,view,3.6
CMP000132,HCP000346,2025-09-30,2025-11-12,0.57,0.06,0.18,4,4624,6444,620,1.82,9,Q3,2025,47,55,2025-11-08,view,22.4
CMP000117,HCP000364,2023-07-20,2023-12-09,0.82,0.07,0.12,46,6004,8500,167,2.85,7,Q3,2023,65,113,2023-09-22,view,21.1
CMP000305,HCP000345,2023-07-10,2023-09-14,0.66,0.4,0.21,97,8312,4610,403,0.39,7,Q3,2023,89,126,2023-08-23,click,8.4
CMP000162,HCP000018,2023-03-20,2023-12-05,0.4,0.27,0.25,27,9678,6394,368,2.71,3,Q1,2023,47,61,2023-10-28,conversion,17.0
CMP000340,HCP000412,2024-11-03,2025-09-05,0.17,0.2,0.08,47,9382,8431,624,2.46,11,Q4,2024,84,112,2025-05-14,conversion,22.8
CMP000112,HCP000453,2023-02-15,2024-10-01,0.33,0.28,0.26,71,9644,1711,105,0.12,2,Q1,2023,22,38,2024-07-29,conversion,17.7
CMP000354,HCP000305,2024-10-24,2025-03-07,0.6,0.35,0.06,72,5272,1529,310,1.15,10,Q4,2024,93,113,2024-12-31,conversion,17.3
CMP000152,HCP000160,2023-11-30,2025-11-04,0.85,0.12,0.02,75,4665,4835,368,2.32,11,Q4,2023,11,45,2024-04-23,conversion,5.3
CMP000119,HCP000098,2024-03-03,2024-10-06,0.68,0.2,0.28,26,6690,3081,907,0.58,3,Q1,2024,73,108,2024-08-23,view,1.7
CMP000098,HCP000216,2023-08-19,2023-10-11,0.46,0.14,0.09,85,8585,4222,686,2.21,8,Q3,2023,68,81,2023-09-11,view,28.5
CMP000371,HCP000247,2025-10-02,2025-10-30,0.8,0.38,0.03,85,7838,4445,592,2.64,10,Q4,2025,50,89,2025-10-26,conversion,8.5
CMP000290,HCP000236,2024-10-02,2025-12-03,0.48,0.27,0.03,5,1029,9058,152,2.25,10,Q4,2024,74,75,2025-10-09,view,18.8
CMP000351,HCP000339,2023-04-05,2023-08-19,0.88,0.07,0.04,2,9762,1342,722,0.81,4,Q2,2023,14,24,2023-05-29,view,25.9
CMP000336,HCP000124,2024-08-17,2024-12-01,0.86,0.35,0.1,28,2297,457,656,0.71,8,Q3,2024,45,51,2024-11-06,click,14.4
CMP000114,HCP000487,2023-11-06,2024-11-27,0.17,0.18,0.1,56,1137,3834,953,2.14,11,Q4,2023,15,57,2024-07-07,view,17.9
CMP000161,HCP000062,2025-04-24,2025-05-01,0.1,0.06,0.2,74,8092,2949,178,0.97,4,Q2,2025,75,88,2025-04-28,conversion,3.4
CMP000391,HCP000260,2024-07-11,2025-07-18,0.51,0.27,0.2,38,4331,1127,897,2.62,7,Q3,2024,27,48,2025-02-07,view,9.3
CMP000226,HCP000352,2025-01-22,2025-06-04,0.12,0.33,0.1,53,5142,3723,643,2.52,1,Q1,2025,94,118,2025-05-11,conversion,23.6
CMP000049,HCP000342,2025-02-19,2025-06-23,0.29,0.24,0.22,93,7504,1117,78,1.62,2,Q1,2025,59,105,2025-05-05,click,6.6
CMP000032,HCP000467,2024-02-25,2024-07-13,0.24,0.08,0.08,41,7173,5521,485,0.19,2,Q1,2024,96,120,2024-03-01,view,17.2
CMP000397,HCP000089,2024-05-10,2025-08-16,0.89,0.25,0.02,44,6547,6803,211,2.46,5,Q2,2024,95,138,2024-10-27,conversion,28.9
CMP000302,HCP000310,2023-02-15,2024-04-26,0.78,0.17,0.17,97,7717,5020,748,1.75,2,Q1,2023,76,80,2023-04-01,click,16.4
CMP000293,HCP000444,2025-01-02,2025-07-26,0.45,0.07,0.28,74,4005,4535,870,2.04,1,Q1,2025,68,113,2025-05-20,click,16.1
CMP000077,HCP000121,2025-06-26,2025-08-10,0.17,0.29,0.29,17,7609,8156,608,1.48,6,Q2,2025,73,101,2025-07-03,conversion,10.4
CMP000066,HCP000124,2023-06-05,2024-06-24,0.77,0.35,0.19,52,9614,8863,871,2.21,6,Q2,2023,51,70,2024-02-15,view,24.9
CMP000170,HCP000307,2024-01-10,2024-08-04,0.5,0.18,0.17,19,8507,416,627,0.56,1,Q1,2024,26,56,2024-01-31,conversion,4.0
CMP000296,HCP000253,2023-12-07,2025-02-26,0.28,0.4,0.06,34,3930,234,852,1.06,12,Q4,2023,20,35,2024-10-03,conversion,11.9
